anchor1	anchor2	alternative1	alternative2	correct_alternative	style_type	language
И стали они жить дружно, в любви и согласии.	Стали они жить дружно, в любви и согласии.	Как взмолится золотая рыбка! 	Обещала золотая рыбка исполнить желание старухи. Пообещала золотая рыбка, что изба у них будет. 	1	simplicity	Russian
Поблагодарил царь и отпустил старуху с подарками.	Пошла старушка во дворец и подарила царю эти рубашки. 	— Продай, бабушка, это полотно, а деньги возьми себе. 	Поняла девушка, что это – белый день. 	1	simplicity	Russian
Увидя на траве коня златогривого и жар-птицу в золотой клетке, весьма на них прельстилися и вздумали брата своего Ивана-царевича убить до смерти.	Легли на траву спать. 	Когда царь узнал, что Емеля прибыл, приказал выкатить сорокаведерную бочку и посадить в эту бочку царевну и Емелю-дурака. 	Царю, конечно, не понравился ленивый и глупый жених, поэтому приказал он посадить царевну с Емелей в большую бочку и бросить в море. Не сразу царь узнал Емелю, так как стал он совсем другим человеком. 	1	simplicity	Russian
Вот пришла зима снежная, намело сугробов до пояса, высыпали ребятишки на улицу поиграть, а старик со старухой на них из окна глядят да про свое горе думают	Пришла зима снежная, вышли дети на улицу играть, а дед и баба на них из окна смотрят и грустят. 	Стала она его будить: «Емеля, а Емеля! 	Попросила она отца-царя выдать её за Емелю замуж.	1	simplicity	Russian
— Его смерть — на конце иглы, та игла — в яйце, то яйцо — в утке, та утка — в зайце, тот заяц — в кованом ларце, а тот ларец — на вершине старого дуба. 	И рассказала она Ивану-царевичу, что смерть Кощея — на конце иглы, та игла — в яйце, то яйцо — в утке, та утка — в зайце, тот заяц — в ларце, а ларец — на старом дубе.	— Что же ты, брат, без жены пришел? 	— Что же ты без жены пришёл?	1	simplicity	Russian
Пустил стрелу Иван-царевич — полетела его стрела прямо в топкое болото, и подняла ее лягушка-квакушка…	Стрела Ивана-царевича упала в болото рядом с лягушкой.	— Ква-ква, Иван-царевич! 	— Ква-ква, не убегай, Иван-царевич, а возьми меня замуж.	1	simplicity	Russian
Высокий терем. 	Вернулся старик к старухе и видит высокий терем. Прошло время. 	Вышли братья на широкий отцовский двор, натянули свои тугие луки и выстрелили.	Вышли братья на широкий двор, выстрелили. 	1	simplicity	Russian
— Ох, дед, трудно нам стало работать: у меня прялка сломалась!	— Ой, старик, трудно нам стало работать, и прялка у меня сломалась!	— «Нет, мы разыскиваем своего родного брата. 	Было в семье три брата. 	1	simplicity	Russian
Что ж он видит? 	Вернулся старик домой и видит новую, большую и красивую избу.  Опять видит их старый дом. 	Кучер так гнал лошадей, что, когда приехали домой, все лошади сдохли. 	Мимо ехал барин на тройке лошадей, увидел мужика и остановился.    	1	simplicity	Russian
Он принял ложную королевну, а коня златогривого вручил Ивану-царевичу.	В этот раз волк решил сам похитить королевну, а Ивану-царевичу сказал ждать его. 	Пошли плясать жены старших царевичей. 	Жёны старших царевичей позвали много помощниц для этой работы.Царю ковры старших царевичей не понравились. Пошли танцевать жены старших царевичей. 	1	simplicity	Russian
Или услышал от отца своего слово недоброе?	Вдруг все услышали страшный шум и очень испугались, посмотрели в окна и увидели красивую золотую карету. 	Ничего не сказала рыбка, Лишь хвостом по воде плеснула И ушла в глубокое море. 	Ничего не сказала золотая рыбка и ушла в глубокое море. 	1	simplicity	Russian
Жил старик со своею старухой У самого синего моря; Они жили в ветхой землянке Ровно тридцать лет и три года. 	Жили-были старик со старухой около синего моря. Они жили в старом маленьком доме тридцать лет и три года. 	Только замахнулся он топором, а из чащи Лесной Дед выходит. 	Вдруг выходит Лесной Дед и говорит:Навстречу ему Лесной Дед выходит и спрашивает:	1	simplicity	Russian
Ведь это с вами наш брат Емельян Иванович!» 	Простили царя Емельян с царевной и жили все долго и счастливо.	Я Колобок, Колобок,	Испекла колобок. И покатился Колобок дальше.	1	simplicity	Russian
Ложись-ка лучше спать-почивать: утро вечера мудренее!	Ложись лучше спать: утро вечера мудренее!Ложись спать: утро вечера мудренее!	Стал он кликать золотую рыбку. 	Третий раз бросил старик сеть в море и вытащил одну золотую рыбку. Вернулся старик к старухе и рассказал ей, что поймал он золотую рыбку, которая говорила человеческим голосом. Позвал он золотую рыбку. Снова пошёл старик к морю, позвал золотую рыбку. Позвал старик золотую рыбку. Позвал он золотую рыбку. Стал он звать золотую рыбку. 	1	simplicity	Russian
Все бы хорошо, да одно горе — детей у них не было. 	Жили они хорошо, дружно, но детей у них не было. 	Катится Колобок, навстречу ему Медведь:	Катится Колобок, навстречу ему Медведь: — Колобок, Колобок, я тебя съем! — Не ешь меня, Медведь! 	1	simplicity	Russian
Василиса стала просить свою куколку, та и говорит:	Пошла Василиса в лес и взяла с собой волшебную куколку. 	Выбрал Иван-царевич лучшего скакуна из Кощеевой конюшни, сел на него с Василисой Премудрой и воротился в свое царство-государство.	Сели Иван-царевич и Василиса Премудрая на коня и вернулись в своё царство-государство.	1	simplicity	Russian
Вышел он к синему морю и видит: на берегу, на желтом песке, лежит щука-рыба. 	Подошёл он к синему морю и видит: на берегу лежит щука. 	Отпустил он рыбку золотую И сказал ей ласковое слово: «Бог с тобою, золотая рыбка! 	Заговорила вдруг золотая рыбка человеческим голосом, попросила старика отпустить её обратно в море и пообещала исполнить любое его желание. Отпустил добрый старик золотую рыбку в море и сказал, что ничего ему не надо. Обещала рыбка старику исполнить любое его желание, если отпустит он её в море. 	1	simplicity	Russian
— отвечает Иван-царевич. — Приказал мой батюшка, чтобы ты сама испекла к утру каравай хлеба…	На следующий день сказал царь, чтобы жёны испекли хлеб.Испекла она хлеб мягкий и очень красивый.	Твоя жар-птица повадилась к нам летать в сад по всякую ночь, и срывала с любимой отца моего яблони золотые яблочки, и почти все дерево испортила; для того послал меня мой родитель, чтобы сыскать жар-птицу и к нему привезть	Начала в сад этот летать жар-птица и уносить золотые яблоки. 	1	simplicity	Russian
Идет он чистым полем, глядь — а над ним летит большой селезень.	Идёт Иван-царевич дальше, видит - летит большой селезень.	И только чуть успел окончить последние слова, как на этом красивом острове появился мраморный и очень красивый дворец -такой, какого нет и не было ни в одном столичном городе! 	После освобождения пожелал Емеля, чтобы появился большой, красивый дворец, и снова исполнилось его желание.	1	simplicity	Russian
Пришел к серому волку и рассказал все, что с ним случилося	Рассказал ему волк о том, что случилось, и посоветовал скорее в своё царство-государство ехать. 	— спросил царь	Попросил царь показать ему мастерицу, которая эти рубашки сшила. 	1	simplicity	Russian
— Не ешь меня, Заяц, я тебе песенку спою:	— Не ешь меня, Заяц, я тебе песенку спою: Я Колобок, Колобок, Я от дедушки ушёл, Я от бабушки ушёл, От тебя, Заяц, тоже уйду!	— Не ешь меня, Серый Волк, я тебе песенку спою:	— Не ешь меня, Серый Волк, я тебе песенку спою: Я Колобок, Колобок, Я от дедушки ушёл, Я от бабушки ушёл, От Зайца ушёл,  От тебя, Волк, тоже уйду!	1	simplicity	Russian
Сама беленькая, точно снег, коса русая до пояса, только румянца нет вовсе. 	Стала быстро расти девочка: красивая, белая как снег, волосы длинные русые. 	Начало пригревать весеннее солнышко. 	На небе тёплое весеннее солнышко, на земле зелёная трава, птицы поют. 	1	simplicity	Russian
Долго у моря ждал он ответа, Не дождался, к старухе воротился — Глядь: опять перед ним землянка; На пороге сидит его старуха, А пред нею разбитое корыто.	Долго старик  ждал ответа около моря, но не вернулась золотая рыбка, не дала ему ответа. Рядом сидит его старуха, а перед ней разбитое корыто. 	Емеля хоть был дурак, но знал, что рыба не говорит человеческим голосом, и очень испугался. 	Емеля был таким ленивым, что идти пешком не захотел. 	1	simplicity	Russian
Есть у нас коровушка — молоко даёт, есть шесть овечек — шерсть дают. 	У нас есть одна корова, которая молоко даёт. Есть шесть овец, которые шерсть дают. 	Ей с поклоном старик отвечает: «Смилуйся, государыня рыбка, Разбранила меня моя старуха, Не дает старику мне покою: Надобно ей новое корыто; Наше-то совсем раскололось». 	Говорит, что мало ей корыта, нужна ей новая изба. 	1	simplicity	Russian
Воротился старик ко старухе, Рассказал ей великое чудо. 	Рассказал ей, чего хочет старуха. Рассказал ей старик о желании старухи. Поклонился старик, рассказал ей о новом желании старухи. 	На крыльце стоит его старуха В дорогой собольей душегрейке, Парчовая на маковке кичка, Жемчуги огрузили шею, На руках золотые перстни, На ногах красные сапожки. 	Стоит на крыльце его старуха в дорогой одежде, а рядом с ней её слуги. 	1	simplicity	Russian
Старшие братья были женаты и занимались торговлей, а Емеля-дурак все лежал на печи, перегребал сажу и спал по несколько суток непробудным сном.	Старшие братья работали, а младший брат Емеля был глупый и очень ленивый. 	Надел старик шапку, вышли они на огород и принялись дочку из снега лепить. 	Надел дед шапку, вышли они на улицу и начали дочку из снега лепить. 	1	simplicity	Russian
— Вот этот хлеб только в большие праздники есть!	— Этот хлеб только в большие праздники есть!А ковёр Ивана-царевича царь приказал использовать только в большие праздники.	Василисе помогала ее куколка. 	Но во всех трудных делах ей помогала волшебная кукла, которую ей дала родная мать перед смертью. Василиса выполнила всё сделала с помощью маминой волшебной куколки, поэтому Баба-Яга отпустила её домой и дала огонь. 	1	simplicity	Russian
Вот пришли все три брата к царю, принесли каждый свой ковер. 	Пришли и старшие братья, принесли каждый свой хлеб. Утром пришли все три брата к царю, принесли каждый свой ковёр. 	Царь и все гости диву дались. 	Царь и все гости удивляются такой красоте. 	1	simplicity	Russian
Принял от Ивана-царевича, взглянул и сказал:	Взял царь хлеб у Ивана-царевича и сказал:	Как увидел старик, — испугался! 	Испугался старик и попросил старуху отказаться от такого желания. Испугался старик, поклонился старухе и спросил, довольна ли она теперь. 	1	simplicity	Russian
Она эту ночь не прилетала.	Он не спал всю ночь. 	Царь Выслав Андронович весьма крушился о той яблоне, что жар-птица много яблок с нее сорвала; почему призвал к себе трех своих сыновей и сказал им:	Послал царь сыновей за жар-птицей. 	1	simplicity	Russian
— Нет, — говорит он, — красавица моя! 	Долго шла красавица по лесу и увидела чёрного всадника. 	Опять моя старуха бунтует: Уж не хочет быть она дворянкой, Хочет быть вольною царицей». 	Уже не хочет она быть богатой дворянкой, а хочет быть вольной царицей.	1	simplicity	Russian
А мужик взял шубу и пошагал домой.	А мужик взял шубу барина и пошёл домой. 	Когда Емеля увидал такую красавицу, то очень она ему понравилась, и он сказал про себя тихим голосом: «По щучьему велению, по моему прошению, влюбись, красавица, в меня». 	Во дворце увидел он царскую дочь-красавицу и захотел, чтобы она в него влюбилась. Сказал: «По щучьему велению, по моему хотению...», — и вот уже царевна влюбилась в глупого, грязного и ленивого Емелю. Сказал Емеля волшебные слова: «По щучьему велению, по моему хотению...», — и стал он высоким и красивым. 	1	simplicity	Russian
Тогда Емеля сказал: «По щучьему веленью, а по моему прошенью, бочка, вылети на берег и рассыпься на мелкие части!»	И опять помогло волшебство щуки: «По щучьему велению, по моему хотению...», — оказалась бочка на берегу острова. 	— сказала мачеха. 	Её мама умерла, поэтому она осталась с мачехой и её двумя дочерями.  	1	simplicity	Russian
— Не убивай меня, Иван-царевич! 	— Не убивай меня, Иван-царевич! 	У него было три сына-царевича: первый — Димитрий-царевич, другой — Василий-царевич, а третий — Иван-царевич.	У него было три сына-царевича: первый — Дмитрий-царевич, второй — Василий-царевич, а третий — Иван-царевич. 	1	simplicity	Russian
Мачехины дочери прислали меня за огнем к тебе. — Хорошо, — сказала Баба-яга, — знаю я их, поживи ты наперед да поработай у меня, тогда и дам тебе огня; а коли нет, так я тебя съем! 	Однажды злая мачеха и её дочери послали Василису к Бабе-Яге в лес за огнём, они хотели, чтобы Баба-Яга съела девушку. 	Где стрела упадет — там и сватайтесь.	"Куда упадёт стрела, там и невесту найдёте""."	1	simplicity	Russian
Замесила муку на сметане, состряпала колобок, изжарила в масле и на окошко студить положила.	Он был горячий, поэтому бабка положила его на окно.	Приехал в лес и громким голосом крикнул: «По щучьему веленью, по моему прошенью, топор, руби дрова сам, а дрова, летите в сани сами!»	Емеля сразу захотел, чтобы вёдра с водой пошли домой сами, топор сам наколол дрова, а сани поехали домой сами.	1	simplicity	Russian
И когда нагулялась по дворцу, приходит к Емеле и удивляется: Емеля стоит перед зеркалом и ругается: «Я очень некрасивый и нехороший! 	Посмотрел однажды Емеля в зеркало и удивился, за что любит его, такого некрасивого и ленивого, красавица-царевна? 	Василиса Прекрасная	Жила-была красивая девушка Василиса Прекрасная. Поняла Василиса, что это – Солнце красное. Когда Василиса Прекрасная вернулась домой, этот волшебный огонь сжёг злую мачеху и её дочерей.                Плохо девушке было жить в доме одной, поэтому Василиса Прекрасная ушла жить к незнакомой старушке. 	1	simplicity	Russian
Поставил ведра и схватил щуку; но щука вдруг заговорила человеческим голосом. 	Заговорила с ним щука человеческим голосом, попросила отпустить её обратно в воду. 	Царь Выслав весьма осердился на Димитрия и Василия-царевичей и посадил их в темницу; а Иван-царевич женился на прекрасной королевне Елене и начал с нею жить дружно, полюбовно, так что один без другого ниже единой минуты пробыть не могли.	Рассердился царь-отец и отправил старших братьев в темницу. 	1	simplicity	Russian
Кто из вас может поймать в моем саду жар-птицу? 	Дал царь задание своим сыновьям поймать птицу. 	На другую ночь пошел в сад караулить жар-птицу Василий-царевич. 	В первую ночь пошёл в сад старший сын и проспал всю ночь. Во вторую ночь пошёл в сад средний сын и тоже проспал до утра. В третью ночь пошёл за жар-птицей младший сын Иван-царевич. 	1	simplicity	Russian
— А на что нам, старик? 	— А зачем нам деньги, старик? 	— А что, старуха, — говорит старик, — давай мы себе из снега дочку сделаем	И решили они из снега себе дочку сделать. 	1	simplicity	Russian
Поднялось облачко высоко и пропало в небе. 	Полетело облако высоко в небо.  	Он шел целый день и устал несказанно и только что хотел присесть отдохнуть, вдруг нагнал его серый волк и сказал ему:	Ехали они долго и решили отдохнуть. 	1	simplicity	Russian
— Зачем ко мне пожаловал, добрый молодец? 	— Зачем пришёл?	А в чистом поле стоит столб, а на столбу написаны эти слова: «Кто поедет от столба сего прямо, тот будет голоден и холоден; кто поедет в правую сторону, тот будет здрав и жив, а конь его будет мертв; а кто поедет в левую сторону, тот сам будет убит, а конь его жив и здрав останется».	Ехал Иван-царевич, ехал и увидел большой камень, на котором было написано: «Кто поедет прямо, тот будет голодным; кто поедет направо, тот будет живым и здоровым, но конь его будет мертв; а кто поедет налево, тот будет убит.» 	1	simplicity	Russian
Иван-царевич пошел от царя Долмата в великой печали, обещая ему достать коня златогривого.	Послушал царь Долмат историю Ивана-царевича и обещал отдать жар-птицу его отцу, если приведет ему Иван-царевич коня златогривого из соседнего государства.	Есть у нас три курочки-хохлатки, есть Петя-петушок — нам и довольно.	Есть у нас три курочки, есть петух. 	1	simplicity	Russian
Иван-царевич взял серого волка, пошел во дворец к царю Афрону, а прекрасной королевне Елене велел дожидаться за городом.	Понял Серый Волк, что не хочет Иван-царевич красавицу отдавать царю Афрону, и решил ему опять помочь. 	— Надумал, — старик говорит. — Сделай так, чтобы наша прялка да ножик никогда не ломались да чтобы руки у нас всегда здоровыми были. 	— Придумал, — отвечает старик. — Сделай так, чтобы прялка и нож никогда не ломались, а наши руки всегда здоровыми были. 	1	simplicity	Russian
Стали цветы собирать, венки плести, песни петь, хороводы водить. 	Стали цветы собирать, песни петь, танцевать. 	Подзывает барин мужика, говорит: «Мужик, что такое — мне в тулупе холодно, а ты в одной рубахе — и пот градом?». 	— Мужик, почему мне в шубе холодно, а ты в одной рубашке, и с тебя пот градом?  	1	simplicity	Russian
Елена Прекрасная рассказала ему всю истинную правду, что и как было: как Иван-царевич добыл ее, коня златогривого и жар-птицу, как старшие братья убили его сонного до смерти и как страшали ее, чтоб говорила, будто все это они достали.	Рассказала она царю-отцу, что братья убили Ивана и её обещали убить, если она об этом расскажет. 	Положила каравай на золотое блюдо, проводила Ивана-царевича к отцу.	Утром проснулся Иван-царевич, взял хлеб и пошёл к отцу.	1	simplicity	Russian
Иван-царевич сел серому волку на спину; а волк побежал так скоро, как стрела, и бежал он, как бы в сказке сказать, недолгое время и, наконец, прибежал в государство королевны Елены Прекрасной.	Прибежал к нему, посадил себе на спину королевну и Ивана царевича, и поехали они обратно.	Подумал-подумал Иван-царевич, взял лягушку-квакушку, завернул ее в платочек и принес в свое царство-государство.	Подумал-подумал Иван-царевич, взял лягушку и принес домой. 	1	simplicity	Russian
— Ну, хочешь, попросим большое-пребольшое стадо коров и овец?	— Хочешь, попросим много коров и овец? — Зачем нам много коров и овец? 	Надо сбегать за огнем к Бабе-яге! 	Пришла Василиса к Бабе-Яге, рассказала, что сёстры послали её за огнём. 	1	simplicity	Russian
Пуще прежнего старуха вздурилась, Не дает старику мне покою: Уж не хочет быть она крестьянкой, Хочет быть столбовою дворянкой». 	Не хочет она быть бедной крестьянкой, а хочет быть богатой дворянкой. 	Ларец упал с вершины и разбился на мелкие кусочки.	Ларец упал и разбился.	1	simplicity	Russian
— Сходи-ка ты в лес, старик, выруби деревце, сделаем новую прялку да ручку к ножу	— Пойди в лес, сруби деревце. Сделаем новую прялку и ручку для ножа,— сказала старуха	Колобок, Колобок, сядь ко мне на носок да спой еще разок, погромче.	Колобок, Колобок, сядь ко мне на нос и спой ещё раз. 	1	simplicity	Russian
Будят Емелю: «Емеля, а Емеля!» 	Перед царём стоял не грязный, глупый, ленивый Емеля, а красивый молодец Емельян. 	Тогда мы всё, что нам нужно, сами себе заработаем	Так они зарабатывали себе на жизнь.  Тогда всё, что нам нужно, мы своим трудом заработаем.	1	simplicity	Russian
Встал старик с лавки и говорит:	Однажды старуха говорит:— говорит старикВдруг старик говорит:	Барин говорит: «Давай, мужик, меняться на тулуп». 	Барин говорит:   — Давай, мужик, поменяем мою шубу на твой кафтан.  — Согласен, давай меняться, но мне ещё деньги нужны	1	simplicity	Russian
Махнула левым рукавом — стало озеро, махнула правым — поплыли по озеру белые лебеди. 	Махнула левым рукавом — появилось озеро, махнула правым — поплыли по озеру белые лебеди. Крикнула:	Вошел Иван-царевич в избушку и видит: лежит на печи баба-яга — костяная нога. 	Пришёл Иван в лес и увидел избушку, в которой жила Баба-Яга.	1	simplicity	Russian
— Ступай к морю, говорят тебе честью, Не пойдешь, поведут поневоле».	Однажды пошёл старик к морю, бросил сеть, но ничего не поймал. 	Скатали они снежной ком, ручки, ножки приладили, сверху снежную голову приставили. 	Сделали они из снега руки, ноги, сверху снежную голову поставили. 	1	simplicity	Russian
И тут же дал сыновьям новый приказ:	И тут же дал сыновьям новое задание:	Уложила его квакушка спать, а сама сбросила с себя лягушечью кожу, обернулась красной девицей Василисой Премудрой и стала ковер ткать. 	Лёг царевич спать, а лягушка вдруг стала красивой девушкой Василисой Премудрой. Лёг спать Иван, а лягушка снова превратилась в Василису Премудрую и стала ковёр ткать.	1	simplicity	Russian
— Бери квакушку, ничего не поделаешь!	— Бери лягушку в жёны – это твоя судьба.	— «Сколько?» 	— Сколько? 	1	simplicity	Russian
Смотрит Иван-царевич на дуб и не знает, что ему делать, как ларец достать.	Смотрит Иван-царевич на дуб  и не знает, что ему делать.	Нам их и прятать негде. 	— отвечает старуха. — Нам негде их прятать. 	1	simplicity	Russian
Вылетела из того зайца утка и поднялась высоко-высоко в небо.	Вылетела из зайца утка и полетела высоко-высоко в небо, но догнал её селезень.	Как скоро довез серый волк Ивана-царевича до тех мест, где его коня разорвал, он остановился и сказал:	Доехали они до того места, где волк съел коня Ивана-царевича и стали прощаться. 	1	simplicity	Russian
Пришел он домой невеселый. 	Пришёл Иван-царевич домой невесёлый, рассказал лягушке о задании царя, а она ему в ответ:А Иван-царевич опять пришёл домой невесёлыйПришел Иван-царевич домой невесёлый. 	Натянул свой тугой лук, стал целиться, а заяц говорит ему человеческим голосом:	А заяц говорит ему человеческим голосом:	1	simplicity	Russian
— Ну, Иван-царевич, слезай с меня, с серого волка, и полезай через эту каменную стену; тут за стеною сад, а в том саду жар-птица сидит в золотой клетке. 	Перелез Иван-Царевич через стену, а там сад, а в саду жар-птица. 	Подъехала карета к крыльцу, и вышла из нее Василиса Премудрая — сама как солнце ясное светится.	Подъехала карета, и вышла из нее Василиса Премудрая. Прекрасная, как солнце! 	1	simplicity	Russian
Старик ловил неводом рыбу, Старуха пряла свою пряжу. 	Старик ловил рыбу, а старуха пряла пряжу. 	Что нужно, говори!» 	Жили они дружно и счастливо. 	1	simplicity	Russian
— А может быть, старуха, мы у Лесного Деда тысячу курочек попросим?	— А может быть, старуха, мы у Лесного Деда тысячу курочек попросим? 	Я от бабушки ушел,	Однажды дед сказал бабке:	1	simplicity	Russian
Приплыла к нему рыбка, спросила: «Чего тебе надобно, старче?» 	Приплыла к нему рыбка, спросила, чего он хочет. Приплыла к нему рыбка, спросила, чего он хочет. 	Баба-яга все осмотрела, подосадовала, что не за что рассердиться, и сказала: — Ну, хорошо! 	Старушка посмотрела на эти рубашки и поняла, что их может носить только царь. 	1	simplicity	Russian
Как встали гости из-за стола, заиграла музыка, начались пляски. 	Заиграла музыка, стали танцевать. 	А как свечерело, набрали они хворосту, разложили костер и давай все друг за дружкой через огонь прыгать. 	Вечером сделали они костёр и начали через него прыгать. 	1	simplicity	Russian
