anchor1	anchor2	alternative1	alternative2
Un giorno d’estate faceva molto caldo e Ugolino aveva davvero tanta sete.	Un giorno d’estate faceva molto caldo e Ugolino aveva davvero tanta sete.	Margherita aveva una fissa per le persone con gli occhiali, e prendeva in giro Sandro da quando era arrivato.	A Margherita piacevano le persone con gli occhiali, e prendeva in giro Sandro da quando era arrivato.
Al contrario, queste persone avevano ammucchiato troppa spazzatura ovunque.	Infatti, avevano ammucchiato troppa spazzatura ovunque.	Grazie a quel sistema per raffreddare l’aria, le nuvolette non dovettero mai più partire e lasciare né gli amici, né le loro case.	Grazie a quel sistema per raffreddare l’aria, le nuvolette non dovettero mai più lasciare le loro case e i loro amici.
I due cagnetti si assomigliavano davvero tanto e si comportavano come se si conoscessero da sempre.	I due cagnetti si assomigliavano molto.Sembrava che si conoscessero.	Ma Sofia disse che non voleva fare del male a Susanna, perché era solo un cane e non poteva agire diversamente.	Ma Sofia disse che non voleva fare del male a Susanna, perché era solo un cane e non poteva agire diversamente.
Che cosa era successo?	Che cosa era successo?	Le gelatine di Margherita cadevano per terra ogni due passi che faceva.	Le gelatine di Margherita cadevano per terra ogni due passi che faceva.
Guardò in alto il cielo e la sua famiglia che stava in piedi intorno a lei.	Guardò in alto il cielo e la sua famiglia che stava in piedi intorno a lei.	L’uomo saltò su per il grande spavento con il tubo ancora in mano.	L’uomo fece un salto per il grande spavento con il tubo ancora in mano.
All’improvviso, Sofia scoppiò in una risata.	All’improvviso, Sofia scoppiò in una risata.	Simo era alla prima vacanza in campeggio con sua sorella maggiore Ida.	Simo era alla prima vacanza in campeggio con sua sorella maggiore Ida.
Sandro e Margherita seguirono Tito fino alla gabbia delle scimmie, dove trovarono la Signorina Bottoni e Mamma Gorilla tutte e due preoccupatissime alla loro ricerca.	Sandro e Margherita seguirono Tito fino alla gabbia delle scimmie, dove si trovavano la Signorina Bottoni e Mamma Gorilla preoccupatissime, che li stavano cercando.	I bambini trovarono la Signora Ortica che sonnecchiava sulla panchina, così la svegliarono con delicatezza e le mostrarono la loro scoperta.	I bambini trovarono la Signora Ortica addormentata sulla panchina, così la svegliarono con delicatezza e le mostrarono la loro scoperta.
Le due ragazze uscirono.	Clara e Luisa uscirono.	Ma Margherita riusciva a capire che Sandro era un bravo ragazzo e con un senso dell’umorismo simile al suo.	Ma Margherita riusciva a capire che Sandro era un bravo ragazzo e che aveva lo stesso senso dell’umorismo.
Alla fine di ogni gara, Benedetto le dava sempre dei colpetti affettuosi sulla spalla facendole un discorsetto benevolo su vincitori e vinti.	Dopo ogni gara, Benedetto le dava sempre dei colpetti affettuosi sulla spalla facendole un discorsetto benevolo su vincitori e vinti.	Ma il cappello sembrava sparito nel nulla.	Ma anche lei non riuscì a trovare il cappello.
Accanto a quel che rimaneva del grande tendone, segni di bruciato correvano sull’erba e un solco scavato dal fuoco partiva dall’albero di quercia andato a fuoco in direzione dei pali del tendone.	Accanto ai pezzi della grande tenda, c’era una linea di bruciato nell’erba tra la tenda e il vecchio albero che era stato colpito dal fulmine.	Luisa cercava di non dimostrarlo, ma a volte tutto quello che desiderava era essere di nuovo nella sua vecchia casa con la sua migliore amica Emma.	Qualche volta Luisa avrebbe voluto essere di nuovo nella sua vecchia casa, con la sua migliore amica Emma.
Alla porta c’era il nipote della Mamma, Tommaso, che portava una grossa torta alla mousse di cioccolato con quaranta candeline sopra.	Alla porta c’era Tommaso, il nipote di Mamma, che teneva in mano una grossa torta alla mousse di cioccolato con quaranta candeline sopra.	Una volta, Ernesta Sparalesta capitò in uno strano paese assieme ai suoi inseparabili amici: Luigi l’elettricista, Mario l’idraulico, Nicola l’imbianchino e Antonio il pescivendolo.	Una volta, Ernesta Sparalesta arrivò in uno strano paese assieme ai suoi cari amici: Luigi l’elettricista, Mario l’idraulico, Nicola l’imbianchino e Antonio il pescivendolo.
Guardando fuori dalla finestra, vide suo fratello Benedetto che lottava contro il vento.	Guardò fuori dalla finestra, e vide suo fratello Benedetto che stava cercando di camminare nel vento forte.	“ALBERTO!!” urlò Alì.	“ALBERTO!!” urlò Alì.
Così, quando Emanuele si offrì di portare a spasso Alberto, Ali accettò molto riconoscente.	Così, quando Emanuele disse che voleva portare a spasso Alberto, Ali disse di sì con piacere.	Sfidava Sofia persino a chi arrivava per primo dal dentista.	Sfidava Sofia persino a chi arrivava per primo dal dentista.
La pasticceria era di una donna molto sorridente di nome Clara, che era una fanatica dei dolci.	La pasticceria era di una donna molto sorridente di nome Clara, che era molto amante dei dolci.	Disse che non era sicuro di quello che era.	Disse che non era sicuro di quello che era.
Con uno scatto attraversò la spiaggia in direzione delle rocce per vedere meglio i delfini.	Attraversò la spiaggia correndo in direzione delle rocce per vedere meglio i delfini.	Era nervosa, ma strisciò in avanti e aprì la lampo della tenda.	Era nervosa, ma strisciò verso l'uscita e aprì la lampo della tenda.
Alcuni dicono che portò Susanna a una scuola per cani, addirittura.	Alcuni dicono che portò Susanna a una scuola per cani, addirittura.	Grazie a questi calcoli e a queste misure, Mauro scoprì che il cappello doveva essere finito in cima al campanile.	Così scoprì che il cappello era finito sul campanile.
Poi Ernesta pensò di correre veloce tra le onde del mare e la bicicletta divenne un motoscafo in un mare azzurro cristallino, dalle onde spumeggianti.	Poi Ernesta pensò di correre veloce tra le onde del mare.Allora la bicicletta diventò una barca che correva sulle onde del mare.	L’ometto barbuto si presentò dicendo che era il Nano dell’Isola, l’attuale custode delle Isole Britanniche.	L’ometto barbuto disse che lo chiamavano il Nano dell’Isola, e che lui era la persona che aveva cura delle Isole Britanniche.
In un primo momento, voleva fare del male alla cagna.	In un primo momento, voleva fare del male alla cagna.	Ma arrivati in fondo alla strada, era già tranquillo.	Ma Emanuele si tranquillizzò quando arrivarono in fondo alla strada.
Mauro era molto affezionato ad Ernesta.	Mauro voleva molto bene ad Ernesta.	Poi, all’improvviso, Sandro e Margherita sentirono un rumore strano dietro di loro.	Poi, all’improvviso, Sandro e Margherita sentirono un rumore strano dietro di loro.
A parte i dolci allo scarabeo, Aidan contava di assaggiare tutti i tipi di dolci dell’intero negozio entro la fine della vacanza.	Oltre ad assaggiare i dolci allo scarabeo, Aidan contava di assaggiare tutti i tipi di dolci dell’intero negozio entro la fine della vacanza.	Erano secoli che non vedevano la nonna, e succedeva sempre qualcosa quando lei veniva.	Era da tanto tempo che non vedevano la nonna, e succedeva sempre qualcosa quando lei veniva.
Clara, Tommaso e Benedetta erano fuori a osservare un airone che si tuffava in cerca di pesci, quando videro qualcosa che si dimenava in acqua vicino all’ansa del fiume.	Clara, Tommaso e Benedetta erano fuori a osservare un airone che pescava, quando videro qualcosa nell’acqua.	Luisa avrebbe mantenuto i contatti con i suoi amici, specialmente con la sua migliore amica Emma, ma avrebbe sentito la mancanza del fare le cose in campagna – vedere gli agnellini nascere, nuotare nel fiume e rotolarsi giù dal bosco lungo la collina a gran velocità – tanto per dirne alcune.	Luisa voleva restare in contatto con i suoi amici, specialmente con la sua migliore amica Emma, ma avrebbe sentito la mancanza anche del fare le cose in campagna.Per esempio, le sarebbe mancato vedere gli agnellini nascere, e avrebbe sentito la mancanza di andare a nuotare nel fiume e di rotolarsi giù dal bosco lungo la collina a gran velocità.
Effy rise.	Effy rise.	Poi, Ida guardò verso il mare aperto e vide una nave di legno dall'aspetto antico, con bianche vele ondeggianti.	Poi, Ida guardò verso il mare aperto e vide una nave di legno dall'aspetto antico, con vele bianche gonfiate dal vento.
“Sono Angelica e vivo qui nel paese di “pì”.	“Sono Angelica e vivo qui nel paese di “pì”.	Quando finalmente riuscì a liberarsi dalla tenda, vide una ragazza con i capelli biondi e ricci che stava in piedi sopra di lei.	Quando finalmente uscì fuori dalla tenda, vide una ragazza con i capelli biondi e ricci che stava in piedi sopra di lei.
Non vedeva proprio l’ora.	Non vedeva proprio l’ora di rivederla.	Luisa e Clara si erano appena messe a chiacchierare e Luisa stava timidamente mostrando a Clara una foto della nuova micina di famiglia, Dora, quando le due ragazze si guardarono terrorizzate – la signora Perticoni aveva tolto di peso Tonio Battaglia dagli ultimi posti e lo aveva sbattuto giù proprio dietro di loro.	Luisa e Clara si erano appena messe a chiacchierare e Luisa stava mostrando a Clara una foto della nuova micina di famiglia, Dora, quando le due ragazze si guardarono terrorizzate – la signora Perticoni aveva spostato Tonio Battaglia dagli ultimi posti e lo aveva messo a sedere proprio dietro di loro.
Nel frattempo, Benedetto e Luca decisero di fare una gara prendendo posizione sulle piattaforme una e due.	Poi Benedetto e Luca decisero di fare una gara prendendo posizione sulle piattaforme una e due.	Anche Margherita è diventata più attenta.	Anche Margherita è diventata più attenta.
Tito, nel frattempo, decise di tornare dalla sua mamma.	Mentre Margherita guardava il sacchetto, Tito tornò indietro dalla sua mamma.	Vagamente ricordava qualcosa di simile a questo materiale, perché tanto tempo prima, stando seduto sulla sabbia, un amico di un amico aveva trovato qualcosa di simile a questo.	Poteva ricordare qualcosa di simile a questo materiale, perché tanto tempo prima, un amico di un amico aveva trovato qualcosa di simile a questo nella sabbia.
