anchor1	anchor2	alternative1	alternative2
Krstili so ga za Peregrina, ker so ga našli na dan tega svetnika, in rekli so mu Najdeni, ker je bil najdenček.	Ljudje so mu dali ime Najdeni Peregrin. Najdeni so mu rekli zato, ker so ga našli. Peregrin so mu rekli zato, ker so ga našli na dan svetega Peregrina.	Dve težki prašičji gnjati in pogačo vzameta s sabo, da ne prideta praznih rok k Jeremiji Wulffingu.	Za darilo sva jim nesla meso in potico.
Vester je zlezel na stolp vsak dan in strmel v trg, ki je imel še vedno svojo svečano podobo.	Vester je vsak dan zlezel na stolp.	Jakec je potrpežljivo čakal, da se bo mož naveličal zvoniti.	Jakec je mirno čakal, da se je mož naveličal zvoniti.
Ti stari Kapulet in Monteg že tretjikrat je danes spor meščanski, porojen iz besede nebrzdane, kalil prijazni mir veronskih cest.	Kriva sta vidva, Kapulet in Monteg.	Ali zobje so ga boleli toliko časa, dokler ni gospod Andrej dovršil svetega obreda. Potem pa si je Matevž sredi cerkve odvezal robec in pokazal ženi golo svojo desno stran.	Ko je župnik končal poroko, si je Matevž odvezal ruto.
Ko so zorela jabolka na drevesih po hribih nad Barjem, je stopala navzgor proti samotni kmetiji. Ko jo je Tone, ki je zgodnejša obiral, zagledal, je skočil kar z veje na tla in ji šel nasproti.	Vrnila se je na kmetijo, kjer sta živela Tone in njegov oče. Ko je Tone zagledal Lido, se je zelo razveselil.	Našli so jo zjutraj nezavestno na tleh.	Našli so jo zjutraj. Nezavestna je ležala na tleh.
Bil mi je priden in pošten hlapec.	Pomagal mi je na kmetiji.	Tedaj bi vi morali videti Matevža, kako je planil za otrokom, ga ujel, potisnil med kriva svoja kolena ter dejal rahlo: »Tinče, zdaj ga pa le!« In Tinče je tepel.	Matevž je planil za Tomažkom in ga zagrabil. Prijel ga je med kolena in rekel: Tinče, zdaj ga pa lahko tepeš. In Tinče ga je tepel.
"""In ti, kot pameten deček, moraš to razumeti. Če te prosi, da ga nadomestuješ, prav, v redu! Stopi na zaboj in pritisni na gumb namesto njega! Toda zakaj, ubožec mali, pritiskaš še dalje na zvonec, ko on odide, ko te ne vidi več? Saj te ne vidi več."""	Ti si pameten deček. Kar pritisni namesto njega na zvonec. Ko pa njega ni več, pa nehaj, saj te ne vidi.	Zdravnik je prišel poprej kot oče. Prinesel je mami rož, njej pa punčko.	Na praznovanje je prišel tudi zdravnik. Zdravnik je Bredi prinesel punčko, materi pa rože.
Ko so se že vsega naveličali, so nehali siliti vanjo in jo pustili živeti, kakor je živela dosihmal.	Potem so jo nehali mučiti.	Oče je na Visokem hudo zbolel.	Tudi oče je zbolel.
Slugi pravi, da ga bo spremil na ples, čeprav ga niso povabili.	Odloči se, da bo šel na ples, čeprav ni bil povabljen.	»Kako si mogel tako pozabiti name!« je žalostno pripomnila Margareta.	Margareta je bila zelo žalostna, da sem pozabil nanjo.
Nekoč sta bila tovariša spet zelo zaposlena. Na vrtu sta urejevala konjsko dirkališče.	Nekoč sta se Jakec in mož igrala na vrtu. Naredila sta dirkališče za konje.	V rani mladosti je veliko prejokal, čeprav mu ni bilo nikdar sile, ko pa je odrastel v fanta, je jok zaklenil vase, si s smehom pregrnil obraz in šel po svetu.	Ko je bil Peregrin majhen, je veliko jokal. Jokal je, čeprav se mu ni zgodilo nič slabega. Ko je zrasel, se je nehal jokati. Bil je nasmejan. Šel je po svetu.
Po prstih so se približali župnišču, po prstih so stopili do okna in pogledali skozi reže priprtih temnic - in ostrmeli so, da jim je zaprlo sapo, zakaj soba je bila vsa zlata.	Pogledali so skozi okno.	Po trgu so hodili ljudje od hiše do hiše, se pogovarjali in si vzklikali ali se prepirali.	Ljudje so hodili po trgu.
"Nekoč so otroci tekli za mavrico in Breda je tekla z njimi. Široko polje je bežalo pred njo. Tekla je, tekla za otroci in se ni niti spomnila, da ji je mati prepovedala na široke travnike. Prehladila se je. Mati je jokala: ""Rekla sem ti, da ne smeš na travnike. Iskali smo te v viharju povsod, ti pa si ležala v nalivu na visoki travi, medtem ko so nad teboj plavale strele."""	Nekega dne se je Breda zunaj prehladila. Mati jo je kregala: Rekla sem ti, da ne smeš na travnike. Iskali smo te. Ti si ležala v travi, bila je nevihta.	Na obrežjih reke so številni družabni javni prostori, na več mestih je urejen dostop do reke.	Ob Ljubljanici se dogaja veliko stvari.
V številnih mestnih zgradbah, ki so v javni rabi, to so kulturne ustanove, športni objekti, zdravstveni domovi, lekarne, vrtci in šole, so bile v preteklih letih izvedene prilagoditve za neoviran dostop, označena rezervirana parkirna mesta, vgrajena dvigala, izvedene klančine.	Javne ustanove so na primer občina, vrtci, lekarne in gledališča. V teh hišah so dvigala in klančine.	Ciganovo zanimanje mu ni hotelo iz glave in kot dober vojščak je vse odredil, da bi ga sovražnik ne iznenadil z nepričakovanim napadom. Pri sprednjih in zadnjih vratih smo napravili nove, močne zapahe.	Vrata smo zato zaščitili z železom, če bi nas razbojniki napadli in nam ga hoteli vzeti.
Opeharil me ne boš!’ je hropel Jošt.	Z Joštom sva se zelo skregala.	Vester je imel veliko zadoščenje, da je ubil vsaj enega psa.	En pes je bil mrtev.
Z udarci je prebudil spečega otroka ter ga pretepel, da je vedel, »kako se je kruh zastonj«.	Matevž je začel Tomažka tepsti.	Ko je mutasta mati spoznala, da njen otrok ne bo mutast, se je od veselja začela jokati, kakor da bi se zavedala tega največjega bogastva človeškega bitja.	Terba je bila zelo vesela, da je otrok lahko govoril. Od veselja je jokala.
"""Ali boš skočil v pekovo peč?"""	Zanimalo jih je, če bo skočil v pekovo peč.	Hudobno je dejal: »Marušica, tega ušesa pa nimam!«	Ženi je rekel: Marušica, nimam ušesa.
Toda Tantantadruj so ni ganil; v svoji žalosti je bil trden kakor čer.	Tantadruj je ostal sam.	Zaman so stikali okrog domačije, vsi klici v noč so ostali brez odgovora.	Otroka ni bilo zunaj.
Po mestnem središču do Ljubljanskega gradu vozi tudi vlakec Urban, ki ga prav tako kot Kavalirje poganja elektrika.	Vlakec Urbana vozi do Ljubljanskega gradu.	Navodila mi je dajal za gospodarstvo in za kupčijo z vinom; posebno če prodajam, naj se branim domačega denarja, ker je dosti manj vreden kot pa denar nemške veljave.	Dal mi je nasvete o denarju.
Tantantadruj je hitro sedel na rob jame in nato bliskovito zdrsnil vanjo.	Tantadruj se je usedel na rob jame in zdrsnil vanjo.	Zagledala je radijski aparat. Tih in nem je stal pred njo. Zakaj ji je gospa prepovedala dotakniti se aparata?	V stanovanju je našla radio. Radia ni smela poslušati.
"Ves obraz se ji je smejal: ""Nihče bi ne mislil, da sem tako lepa. Sedaj bi me moral videti Matevžek, pa ne bi lazil potem za Liziko. Nekoč se popeljem v tej obleki domov in bom šla mimo njega, ne da bi ga pogledala, pa bo videl, ali mu bo žal ali ne, da me je zapustil."""	Mislila si je: Sedaj bi me moral videti Matevžek. Žal bi mu bilo, da me je zapustil.	Breda je hotela planiti k materi, da bi ji pomagala, toda v trenutku se je vse stemnilo in ni videla ničesar več, dokler se ni zbudila v postelji. Ob njej sta stala oče in mati. Doživela je epileptični napad.	Breda je hotela pomagati materi. Dobila je epileptični napad.
Ko sta uri trpljenja potekli, je Mihól klado odklenil ter me spustil z nekaterimi šaljivimi opazkami.	Ko so me spustili iz klade, sem šel domov.	Vester je odšel domov, vzel očetovo zidarsko kladivo in dleto, se vrnil v stolp in začel ruvati kroge iz zidu.	Z očetovim orodjem je stolkel obroče iz zida.
"Najprej moram povedati župniku."" se je otepal ter se poganjal na levo in desno, da bi ušel otročajem."	Najprej je hotel povedati župniku.	Na gmajni se je začela krasiti s cvetjem in se minute dolgo ogledovala v zrcalu, ki ji ga je podaril hlapec.	Krasila se je s cvetjem in se gledala v ogledalu.
Breda je dobivala napade vedno bolj pogostoma.	Breda je imela napade vedno pogosteje.	Že na brvi pod visoškim domom sva čula vpitje jeznega očeta.	Ko sva se vrnila domov, je bil oče slabe volje.
Kanarčki so se zaletavali iz kota v kot, nekateri so se zadevali v pregrajo, drugi so prepevali, nekateri pa so sedeli nepremično.	Kanarčki so delali različne stvari. Nekateri so letali. Drugi so se zaletavali v kletko. Tretji so peli.	Rodil sem se v Gospodovem letu 1664 na dan sv. Izidorja, in sicer ravno tu na Visokem.	Rodil sem se v kraju Visoko.
Če še kdaj razburita mi mesto, z glavo mi plačata kaljeni mir!	Če še kdaj povzročite nemir, boste kaznovani s smrtjo.	Najdeni Peregrin je igral harmoniko, gosli, klarinet, citre in trobento, sploh vse, kar mu je prišlo v roke, pel pa je tako lepo, da je ženske spreletavala mrščavica.	Najdeni Peregrin je igral na veliko glasbenih inštrumentov. Igral je na vse inštrumente, ki jih je dobil v roke. Zelo lepo je pel.
Po bukvi je splezal vrh stolpa in po cele ure občudoval raz njega lepi razgled.	Na stolp je splezal po bukvi. Gledal je razgled.	Ko so prišli med ciprese, ki so grozeče vršale v vetru in se sklanjale nadnje kakor razbičana grešna bitja, se je od mrtvašnice najprej oglasilo cingljanje kravjih zvoncev, nato pa nenavaden tercet. Angelski glas in dva basa, prvi poln in gromovit, drugi skrhan in nestanoviten, so z velikim zanosom zapeli Tantantadrujevo pesem.	Peli so Tantadrujevo pesem.
Zjutraj ni hotela Breda piti kave.	Zjutraj Breda ni hotela piti kave.	"Komandant je zarjul: ""Ti bi gotovo rad hitro crknil?"""	Ti bi gotovo rad hitro crknil?
Ne veste, kaj počnete!	Ne veste, kaj delate.	In zopet sem stal pred prodajalno v Loki ter gledal na svetlo okovani samokres, ki je bil tisti mah želja vseh mojih otroških želja.	Z denarjem bi si lahko kupil pištolo.
Breda je vtaknila prst skozi kletko.	Breda je vtaknila prst v kletko.	Lida je v mestu spoznala gospo Bogomilo Repnik, ki je zelo dišala in bila fina.	Lida je v mestu spoznala gospo Bogomilo Repnik. Gospa je zelo dišala. Bila je zelo fina.
Pestunja pravi: O gospodična, Paris je tak mož kot le še kaj na svetu, mož cukren.	Pestunja je navdušena nad Parisom.	Že je tičalo bodalo v moji roki in sunil sem Jošta zadaj pod tilnikom v telo, da se mu je curkoma ulila kri. Nato je umrl.	Med prepirom sem Jošta zabodel z nožem in Jošt je umrl.
Nekega dne je prinesel domači sinček novo brezovko domov.	Nekoč je Tinče domov prinesel brezovo šibo.	Prenovljene javne površine na območju ekološke cone so dostopne brez ovir, odstranjeni so nivojski prehodi oziroma znižani cestni robniki, enakomerno in z zapolnjenimi režami so položeni tlakovci.	V starem delu sredi Ljubljane ni ovir. Tlakovci po tleh so ravni.
Takoj, ko sem ozdravel, me je oddal oče, ki morda ni rad gledal pohabljene moje roke, Ahacu Langerholzu v Škofjo Loko.	Oče me je poslal v mesto Škofja Loka.	Neko nedeljo popoldne, ko je hiša in družina počivala, mi je ukazal oče, da naj hodim z njim. Prav živo se še spominjam, kako sva se razgovarjala, in bil je to jako pomenljiv razgovor, ker se mi je takrat prvič odkrilo, da oče občuti težko breme svoje starosti in da je določil mene za svojega naslednika na Visokem.	Oče mi je povedal nekaj pomembnega. Zaupal mi je o svojih skrbeh. Rekel je, da bo predal posestvo meni.
"Izza hišnega ogla se je prikazal gospodar in zavpil proti fantoma: "" Ženita no že past..."""	Prišel je krčmar. Fantoma je rekel, naj ženeta past živino.	"""Jama je tam!"" je zagrmel Luka in zmagoslavno pokazal na pokopališče."	Luka je rekel: Na pokopališču je jama.
Z nepojmljivo vztrajnostjo je stal tako dolge ure, obrnjen k steni, in tiščal na zvonec.	Na zvonec je pritiskal zelo dolgo.	Nekaj razbojnikov je letalo okrog poslopja, nekaj pa tolklo na sprednja vrata ter zahtevalo, da naj Polikarp izroči svojo vojno kaso, če noče, da s silo ne vlomijo v hišo.	Nekega večera so k nam prišli razbojniki. Hoteli so očetov denar.
V začetku tega izpada je bil silno presenečen, potem se je s strahom zagledal v skoraj blazne Lidine oči, ki so žarele nad njim.	Bil je presenečen. Bilo ga je strah. Zdelo se mu je, da ima Lida čudne oči.	Z zgornje postaje vzpenjače na grajskem griču je z dvigalom urejen neoviran dostop do grajskega dvorišča, kjer je tipna maketa Ljubljanskega gradu s pripisi v brajici.	Pri zgornji postaji je dvigalo. Z njim se peljemo na grajsko dvorišče. Na grajskem dvorišču je maketa gradu. Napisi so tudi v brajici.
"""Sram vas bodi!"" je starec ustrelil izpod sršečih sivih obrvi po mladih ljudeh."	Bil je jezen.	Terba je tulila, da je šlo skozi mozeg in da so jo slišali k sosedom, a dečka sta molčala, kakor da bi bila popolnoma zaverovana v posel, ki ga je bilo treba temeljito opraviti.	Terba je glasno tulila.
Že otroška leta so mi bila v nadlego in težo življenja sem občutil na sebi kot breme, mučno in grenko.	Imel sem težko otroštvo.	Bilo je še zgodaj, tako da se je komaj videlo žrelo do dna, toda Vester je natanko razločil, da je skupina vojakov prignala enega samega moškega.	Pripeljali so moškega.
"""Ležem in umrem."""	Ležem in umrem.	Zvečer tistega dne sta oče in mati govorila, da bodo zdaj prišli boljši časi.	Slišal je očeta in mater, pogovarjala sta se, da bodo zdaj prišli boljši časi.
"Julija govori: ""Romeo, ako je ljubezen tvoja čednostna in poroke si želi, sporoči jutri slu, ki ti ga pošljem, kdaj in kje naj bila bi poroka."""	Julija predlaga, da se poročita.	"Vsak po svoji dolini."""	Rekel jim je: Vsak bo šel v svojo dolino.
Urban vozi po ustaljeni poti v mestnem središču, ob kateri so največje mestne znamenitosti.	Urban vozi mimo največjih mestnih znamenitosti.	Odslej, drago dete, vas bom tikala, kajti od tega trenutka ste v službi pri meni in dovolite, da vas zato poljubim kot svojega otroka. Gospa je razprostrla roke, stisnila Lido v naročje in jo poljubila na lice.	Vzela jo je v službo. Rekla ji je: Naj te poljubim kot svojega otroka.
Zvečer doma ni povedal, kaj je storil tisti dan.	Doma ni povedal, kaj je storil tisti dan.	Planila je proti hišnim vratom, a bila so zaklenjena.	Vrata hiše so bila zaklenjena.
Oblekla je perilo, stopila k zrcalu in se ogledovala v njem. Sama sebi se je zdela zelo lepa. Potem si je oblekla še obleko.	Lida se je oblekla in se pogledala v ogledalo. Sama sebi se je zdela zelo lepa.	"Breda je slišala, kako je zdravnik rekel materi: ""Njeno stanje se slabša. Ako oče ne bi bil tak pijanec in bi se doma razmere uredile, bi bilo morda bolje, vsaj otrok se ne bi razburjal. Tako pa je vedno težje bolna in dobiva napade."""	Zdravnik je rekel: Bredino zdravje gre na slabše. Ko se razburi, dobi napad.
Samo dva dneva sta bila v letu, v katerih se je smel Tomažek do sitega najesti.	Tomažek je dobil dovolj hrane samo dvakrat na leto.	Naposled se je Tantantadruj le prebil skozi goščavo nemirnih in nestrpnih teles ter pricingljal tja, kamor je bilo treba: pred staro Podkoritarjevo gostilno.	Tantadruj je prišel do gostilne.
Vedno pogosteje je mislila na Toneta in njegovega očeta in bi se že vrnila, če bi bilo njeno srce že zdravo od bolne bolezni do Matevžka. Tako pa je vztrajala kakor v nekih sanjah in se ji je zdelo, da nikakor ne more več nazaj.	Lida se je spominjala Toneta in njegovega očeta, ki bi jo vzela k sebi. Skoraj se je že obrnila in šla nazaj, a se ni znala odločiti. Tako je ostala v mestu še naprej.	Nekega dne sem prišel na Vrbarjev vrt, »gledat, kako umira Tržačan«.	Prišel sem na Matevžev vrt, da bi videl, kako umira Tomažek.
Breda je poslušala, polagoma so se ji razširila usteca v nasmeh, potem pa se je radostno zasmejala.	Breda je poslušala in se malo nasmehnila. Potem se je glasno zasmejala.	V temačni prostor so spustili tri velike volčje pse, ki so napadli zvezanega vojaka in ga začeli živega gristi.	V stolp so spustili 3 velike pse. Psi so moža napadli in ga začeli gristi.
To se je pri Černjakovih dogajalo zelo pogosto, ako ne vsak dan: otroci so se iz dolgega časa znašali nad domačo siroto.	Otrokom je bilo dolgčas. Terbo so tepli vsak dan.	Zaslišali so se glasovi jokajočega otroka.	V hiši se je jokal njen otrok.
Krčmarjeva fanta, prvemu je bilo deset let, drugi pa je bil dve leti mlajši, sta jo vsak z enim krepelcem v roki na vso moč tepla po bedrih in stegnih, in kadar so jima bile napoti terbine roke, ko so hotele zakriti boleča mesta, sta tolkla po njih	Terbo sta tepla tudi krčmarjeva sinova. Eden je bil star 10 let. Drugi je bil star 8 let. V rokah sta imela veje. Močno sta jo tolkla po nogah in rokah.	In Černjakova sirota je naposled rodila. Rodila je zdravega, krepkega dečka, kateremu se je nasmejala z blaženim, presrečnim nasmehom, da je presunilo celo staro Kardevo, katero so najeli k porodu.	Terba je rodila zdravega fantka. Zelo ga je bila vesela.
Tiste dni je bila gorka moja želja postati vojščak, in kar pogrelo me je, ko sem pri loškem trgovcu ugledal samokres z debelim, svetlo okovanim kopitom, ki pa je bil tako velik, da bi ga bil jaz, otročaj, komaj mogel nositi.	Videl sem pištolo.	On ni rekel nič.	On ni rekel nič.
»Ali te kaj notri boli?« je povpraševala Maruša Repulja.	Spraševale so ga, če ga kaj boli.	Vzlic visoki starosti se pa vendar ni zmanjšala njegova divjost, česar bi sicer otrok o svojem roditelju ne smel zapisati.	Oče se je postaral. Kljub temu je ostal neprijazen.
"Gospa je vprašala Lido: ""Ali znaš masirati?"" in se glasno čudila, ko je Lida odkimala. ""Pokazala ti bom, kako se masira."" Lida se je morala zlekniti na posteljo in gospa jo je začela masirati počasi od stopal navzgor. Nato je morala Lida vstati in je legla v posteljo gospa. Sedaj je morala početi Lida isto z njo."	Gospa je Lido masirala. Tudi Lida je morala masirati gospo.	Postala je zelo razigrana.	Postala je zelo razigrana.
»Kupite mi ga!« sem vzdihnil k materi.	Mater sem prosil, da mi jo kupi.	Jaz si bom sam napravil otroka!	Sam si bom priskrbel otroka.
A ta je stekel ter hotel rešiti svoje meso, kakor je tako navada pri človeških bitjih.	Tomažek je stekel stran.	Odkar mu je bila mati nekako dopovedala, da bo srečen šele takrat, ko bo umrl, je bila ta želja v njem tako živa, da je pravzaprav živel samo zanjo.	Mama mu je vedno govorila: Srečen boš šele, ko boš umrl.
Na grad sem pa le prišel! Ječar Mihól Schwaiffstrigkh je bil naročil pri našem mojstru novo kladivo.	Grad sem obiskal, ko sem ječarju nesel novo kladivo. Ječarju je bilo ime Mihol.	"In ""Tantantadruj!"" je bila tudi prva beseda, ki jo je izgovoril."	Tantadruj je bila prva beseda, ki jo je povedal.
Kakor zapisano, sem ležal dolgo časa bolan in v bolečinah.	Zelo me je bolelo.	Če je mesto dostopno najranljivejšim skupinam, je dostopno in prijazno vsem.	Prijazno mora biti tudi ljudem s posebnimi potrebami in starejšim ljudem.
"Nekateri so se grdo obregnili vanj, drugi so ga prijazno ogovorili, tretji so mu molče stisnili v roko nekaj drobiža, četrti so ga bodrilno potrepljali in žalostno rekli: ""Blagor tebi, ker si nor!"""	Govorili so mu: Blagor tebi, ker si nor.	Otrok je to slišal večkrat na dan, zato ni čudno, če je iz vseh teh naglo izgovorjenih besed, ki jih še ni razumel, zanj nastala samo ena.	Fant je vsak dan slišal te besede.
Ko je Matic nekega dne pritaval k njemu, izgubljeno gledal okrog sebe, nato pa obsedel na zidu ter začel tolči s kamnom ob kamen, se je Hotejcu zasmilil.	Nekemu dobremu možu se je smilil.	Sonce je močno pripekalo.	Sonce je močno sijalo.
Oslabel je bil tako, da ga noge več niso nosile.	Bil je bolan in ni mogel več hoditi.	Za pasom mi je tičal moj samokres — samotne steze niso bile tiste dni nikjer varne in dosti izpridenih ljudi se je klatilo po njih — Lukež pa je opasal sabljo, kakor so jo nosili koledniki, če so jezdarili od vasi do vasi.	Jaz sem vzel tudi pištolo, Lukež pa sabljo.
Občutil sem, da je bil Polikarp Khallan trd, temen in brezsrčen gospodar, kateremu ni nikdar posijalo sonce v dušo.	Oče je bil velik in močan.	"Stari je rekel: ""Vidim, da si zelo pošteno dekle. Sin mi je rekel, naj te na vsak način pridržim, da bi ostala pri nas in kaj pomagala. Pa ti kar iz oči berem, da te žene naprej. Ker nimaš več matere in očeta, ti jaz pravim, da bi bilo zelo škoda, da bi se tako dekle, kot si ti, v mestu skazilo. Nekaj mi pa pravi, da bo vse dobro. Če bi ti bilo v mestu pretežko, pa se povrni k nam. Tukaj ti dam enega kovača, da boš imela vsaj danes kaj za pod zob."""	Rekel je: Lida, ti si pošteno dekle. Tone si želi, da bi ostala pri naju in nama pomagala. Škoda, da greš v mesto. Mesto ni dobro zate. Če ti bo pretežko, se vrni k nama. Nekaj mi pravi, da bo vse še dobro. Dal ji je denar za hrano in Lida je odšla.
Gospodar je zakričal, kakor bi mu hoteli odsekati glavo, se zgrudil na kolena in z vzdignjenimi rokami prosil hlapca, naj se ga usmili.	Ubiti je hotel tudi gospodarja. Gospodar je prosil za svoje življenje.	Medtem ko je pred svojim materinstvom nekako vdano prenašala vsako preganjanje celo s strani otrok in je le z blaznim ihtenjem tožila svetu svoj bol, je kot mati počasi postala odpornejša, srditejša in nepristopnejša ter se je znala tudi dejansko braniti pred preganjalci.	Naučila se je braniti pred pretepači.
Ljudje so na vse pretege ugibali, kdo bi bil kriv, ter so dolžili najrazličnejše dedce, predvsem pa pijance, ki so zahajali k Černjaku.	Ljudi je zanimalo, kdo je otrokov oče. Sumili so vse pijance.	Pod pogoji iz mestnega odloka so osebe z oviranostmi in njihovi spremljevalci upravičeni do brezplačnih prevozov v mestnem javnem prometu.	Ljudje s posebnimi potrebami in njihovi spremljevalci se lahko na avtobusih v mestu vozijo brez plačila.
"""No, to je tisti Tantaradra, ki bi rad umrl,"" je domači župnik z rahlim nasmehom povedal svojim polbratom."	Ko so župniki prišli do Tantadruja, je domači župnik rekel: To je tisti Tantaradra, ki bi rad umrl.	Tam pri Dachauu smo uplenili vojno blagajno, katero smo s težavo dobljeno prikrili tovarišem.	Ukradli smo zaboj – vojaško blagajno.
Najimenitnejši se ji je zdel Matevžek.	Najbolj všeč ji je bil Matevžek.	Ko ju je Lida zagledala, je kriknila, se zagnala v gospo, jo zagrabila za vrat, jo prevrnila na tla in jo začela z nohti besno praskati po obrazu.	Lida je gospo zagrabila za vrat in jo začela praskati po obrazu.
Luka je precej časa zidal v Gorici in Trstu, zato mu je še ostalo nekaj italijanskih besed.	Luka je pred padcem zidal tudi v Italiji. Znal je nekaj italijanskih besed.	"“Če skočiš z zvonika, ne umreš, temveč se ubiješ!"" je z vzdignjenim prstom povedal otrokom prav tako strogo, kakor je bil njemu strogo rekel župnik, ko mu je bil povedal svojo misel, da bo skočil z zvonika in tako umrl."	Župnik mu je povedal, da se bo ubil, ne umrl, če skoči z zvonika.
Ponoči potem pa je umrl tržaški Tomažek.	Ponoči je Tomažek umrl.	Ko so pretekli trije tedni, je prišla po Marksa sestra Margareta, ali skril se je pred njo, da ga niti videla ni.	Po Marksa je prišla sestra Margareta.
"Lida je vprašala: ""Je bil vaš Tone oženjen?"" ""Da, bil je. Pred tremi leti mu je umrla."""	Starec ji je povedal, da je Tonetu umrla žena.	Drugo jutro je že navsezgodaj spet splezal v stolp, toda ko je pogledal v žrelo, ni videl tam nikogar več.	Naslednje jutro je spet odšel v stolp.
Postala je najboljša, najskrbnejša mati in je negovala dete z največjo ljubeznijo in nežnostjo ter ga varovala kakor levinja svojega mladiča.	Terba je postala najboljša mama. Dojenčka je pazila in skrbela zanj. Pazila ga je tako, kot mama levinja pazi na svoje mladiče.	Na rebri poleg Vrbarjeve hiše pa je ležal Tomažek in same kosti so ga bile.	Tomažek je bil suh kot kost.
Ljudje so se spet zakrohotali.	Ljudje so se jim spet smejali.	"""In zapomni si še nekaj! Ti sploh ne boš umrl!"" je z globokim glasom rekel župnik."	Župnik je Tantadruju rekel: Ti ne boš nikoli umrl.
Povpraševala sva, če sva na pravi poti, ker bi bila lahko zašla.	Mislila sva, da sva se izgubila.	Kos odsekanega mojega prsta je mati Barbara skrivoma in tajno zakopala na pokopališču pri cerkvi sv. Martina v Poljanah.	Mati je del prsta zakopala.
Rada bi pobegnila, toda ostala je v službi pri gospe kakor zakleta in delala kot služkinja.	Rada bi pobegnila. Toda ostala je v službi pri gospe kot služkinja.	"""Smrklja, sraka, ciganka,"" je ponovil zdravnik in se veselo zasmejal."	Zdravnik se je zasmejal in ponovil: Smrklja, sraka, ciganka!
