anchor_1	alternative_1	anchor_2	alternative_2	style_type	language_1	language_2
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Puoi frequentare il tuo corso con lei, se vuoi.	e se vuoi davvero puoi frequentare le sue lezioni con lei.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Succederà quando sceglierai di essere ricco e potente.	Non lo farete finche' non sceglierete di essere ricchi e potenti.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Per favore, non implorate amore, denaro o rispetto.	non supplicare per amore non supplicare per soldi e non implorare rispetto.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Saprai sicuramente quando sei innamorato.	Ma saprai DEFINITIVAMENTE quando sei innamorato!	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Non basare il vostro rapporto su denaro o oggetti materiali.	SEMPLICEMENTE NON BASARE LA TUA RELAZIONE SU SOLDI O COSE MATERIALI.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Cosa succede se qualcuno facesse questa domanda: «Come posso far notare al mio ragazzo?»	Se qualcuno mi chiedesse: come posso farmi notare dal mio ragazzo?	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Non riesco ad accedere alla chat room.	Non riesco ad accedere alla chat	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Se vivi con un amico, io chiamo quell'amico con dei diritti.	Tu vivi con un amico, e io chiamo quell'amico con dei diritti.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	È difficile dire da questa domanda, ma sembra che tu stia cercando di cambiare te stesso, e questa è una cattiva idea.	che cercare di cambiare te stesso... a meno che tu non sia davvero incasinato... ma la domanda non ci dà molto da andare avanti	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Non so cosa stia pensando, a volte ci sediamo e guardiamo.	Non riesco a leggergli la mente, ma a volte ci piace guardare.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Vai in Francia e vedi di persona.	andare in Francia e ascoltare di persona.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Sapeva che in precedenza uscivo con qualcuno sposato.	Sapeva che il mio ex era sposato.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Non dovresti lasciare che quello che dicono gli altri ti infastidiscano.	Non mi importa di quello che dice la gente.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Ti auguro buona fortuna, a prescindere da quale corso prenda.	buona fortuna qualunque cosa tu faccia.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	L'avvertenza è che io e te non siamo sposati, e questo è accettabile per me.	Finché la tua non mia moglie... va bene con me... lol...	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Raccomando che gli studenti delle scuole superiori non frequentino nessuno che sia ancora nella scuola media.	perché sei ancora alle medie, non suggerisco di uscire con qualcuno al liceo.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Se questa tattica non ha successo con una persona, allora continua a provare con gli altri.	Se non funziona, prova qualcun altro.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Forse vorrai informare quest'uomo che se ti fa un'altra telefonata, si tradurra' nella perdita del suo lavoro.	digli che stai per essere licenziato se chiama un'altra volta	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Dopo di che, un gentiluomo è stato coinvolto che ha cambiato tutto!	poi un ragazzo è stato coinvolto e cambiato tutto!	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Sono disposto a farlo, a patto che anche voi quattro lo sarete!	C'è solo uno di me, ma sono disposto se voi quattro lo siete!	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Contrariamente a quanto dicono gli altri, non nascono in quel modo.	In primo luogo, non sono NATI in quel modo, non importa quello che qualcuno cerca di dire.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Penso che dovresti provare un altro tipo di donna.	Prova un altro tipo di ragazza.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Lei e tendono ad incrociare strade ogni tanto.	Io e questa ragazza attraversiamo qualche riga qua e là.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Dovresti dire di si', se lo ami.	Se lo ami davvero, allora sì.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Sarebbe saggio separarsi da lui il prima possibile.	scaricarlo il più presto possibile è l'unica cosa che si può fare non essere stupido e tenerlo	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Ho imparato ad amare me stesso, cosa che non ero in grado di fare in passato.	Ho imparato ad amare me stesso qualcosa che non avevo mai fatto prima.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Ho problemi a incontrare ragazze perche' frequento una scuola con solo ragazzi.	Vado in una scuola di tutti i ragazzi e ho avuto problemi ad incontrare le ragazze.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Si prega di parlare e non affrettare le parole	3_ancora non correre e usare le parole... parla...	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Dovresti andare a giocare con le tue bambole	dovresti giocare con le bambole	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Parli spesso con quella persona?	Beh... Parli molto con quel qualcuno?	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Senza alcun livello di impegno, è un doppio appuntamento conciso?	E' considerato un doppio appuntamento? anche se nessun livello di impegno con la ragazza platonica fritto	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Non è la dimensione del seno che è attraente, ma quanto bene ci si porta.	non è la dimensione della tetta, ma piuttosto quanto bene si può portare le sue tette che è attraente.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Devi semplicemente fare quello che la rende felice.	Tutto quello che devi fare è suonare il suo campanello!!!	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Sì, anche se suppongo dipenda dai voti.	Sì, beh, credo che dipenda dai voti.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Forse dovresti chiederti dove sono le malattie sessualmente trasmissibili da Kay.	forse dovreste chiedervi dove sono le malattie sessuali in Ks.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Significhi che non devi piu' antagonizzarla.	il che significa che non c'è bisogno di farla come il tuo nemico più.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	In tal caso, chiedile di accompagnarti al prossimo ballo scolastico o di vedere un film.	poi chiederle di andare al prossimo ballo della scuola o magari di vedere un film?	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Sta succedendo qualcosa con il tuo amico o con il suo?	Qualcosa che non va con il tuo amico o il suo?	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Ma, non confondere il mio significato, non cedere e diventare sottomesso. Trova un compromesso.	Ma, non fraintendetemi non essere uno zerbino e prendere il percorso sottomesso sia... trovare qualche via di mezzo!	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Potrebbe non avere successo se siete veramente codardi, e quindi diventare più spaventosi di quanto non sia la donna.	Potrebbe non funzionare troppo bene se sei una vera femminuccia e finirai per avere piu' paura di lei.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Credo che la ferita dipenda dal fatto che lei e suo marito abbiano un matrimonio aperto.	Dipende se lei e suo marito sono scambisti...	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Vuole divertirsi, ed è per questo che ha intrapreso una relazione con te. Non prendere questa relazione troppo sul serio.	lei vuole divertimento che y lei ha una relazione con u. non fare sul serio con lei.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Di' solo che per il momento vuoi solo essere amici.	Di' solo che per ora vuoi solo essere amici.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Questo perché non stanno facendo il loro lavoro!	Perche' stanno solo facendo il loro lavoro!	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Sarebbe bello uscire di lì ora mentre è possibile.	esci ora mentre puoi	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Sì, questo è vero se sono dipendenti sessualmente da esso, ma ciò significherebbe che hanno bisogno di vedere un terapeuta sessuale.	Sì, se sono sessualmente dipendenti da esso, ma poi direi andare a un coucenlor sesso.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Personalmente, penso che i giovani siano sexy, purché abbiano più di 25 anni.	personalmente, penso che i giovani (oltre 25) siano caldi!	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	È perché i ragazzi non sono ancora abbastanza maturi per sapere cosa vogliono o cosa hanno.	perché i ragazzi non sono abbastanza maturi da sapere quello che vogliono sono sapere cosa hanno.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Cinque metri di altezza e 135 chili mi suona molto bene.	5' 135 lbs suona perfetto per me.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Si prega di cercare aiuto mentale da un professionista.	Oh, tesoro, ti prego, consulta un consulente!	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Se questo fosse vero, non sarei sorpreso se fosse di nuovo infedele.	Se così fosse, non sarei sorpreso se tradisse di nuovo.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Se andava dietro a un'altra donna che ovviamente non gli importava, non è tutta colpa sua.	se andava con lei abviosamente non gli importava, non è tutta colpa sua.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Se lei deve ancora tirarlo su, allora non ha bisogno di essere parlato.	Se non l'ha comprata, non c'è bisogno di parlarne...	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Forse potresti controllare prima li'.	Potresti provare a controllare lì il primo.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Se desideri uno dei tuoi, dovresti provare Yahoo Personals. Non sei d'accordo?	Se ne vuoi uno per te forse dovresti provare Yahoo Personals, non è vero?	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Per prima cosa, devi essere gentile e aspettarli.	Prima di tutto devi essere gentile con loro e aspettarli.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Vai avanti. Parla con lui e non nascondere nulla.	Non nascondere niente frm lui. Vai avanti e parla con lui.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Le stesse qualità che cerchi in un gentiluomo.	Le stesse cose che cerchi in un ragazzo...	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Le giovani donne che chiedono ai giovani uomini di uscire hanno dieci volte più successo delle ragazze che non lo fanno.	Le ragazze che chiedono ai ragazzi di uscire hanno dieci volte più successo delle ragazze che non lo fanno.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Quindi l'uomo semplice si innamorò una volta con sua moglie e sostiene che era vero amore.	così simpleman si innamorò 1 volta con sua moglie e questo è vero amore quello che ha detto	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Non vendicarti, non dovresti svalutare te stesso al suo livello.	Non vendicarti, non dovresti scendere al suo livello.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Caffè, caffetterie, centri commerciali sono tutti posti in cui si può trovare una ragazza, a seconda del tipo che ti interessa.	caffè/caffè; il centro commerciale (ultima risorsa) credo che dipenda da che tipo di ragazza stai cercando.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Se ti ama, apprezzerà tutto quello che gli dai.	Gli piacerà qualsiasi cosa tu gli dia, se ama davvero u!!	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Visto che sono puritana, diro' matrimonio.	Sono puritana, quindi diro' matrimonio.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Io, per esempio, non sono niente del genere.	Io, per esempio, non sono così.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Dovresti amarli come sono.	LI AMO COSÌ COME SONO.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Mi sono sposata troppe volte per amore prima. Ora dipende da quanti soldi stiamo parlando!	ho sposato troppe volte per amore.. dipende da quanti soldi stiamo parlando. lol	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Ben fatto, so che le piacerà sicuramente.	puntelli pazzi a voi ragazzo.. molto ben fatto.. lei sicuramente lo adorerà.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Suo padre, nel frattempo, è ossessionato dal suo nuovo interesse amoroso.	Suo padre, nel frattempo, è ossessionato da questa ragazza.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Prima di tutto, quello non e' un amico.	fisrt off, quello non è un amico.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Spero che mi risponderai.	Spero che tu possa rispondermi!	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Anche i miei amici sono d'accordo con me.	Anche gli altri miei amici sono d'accordo con me.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Io dico amore chi ami, la razza non dovrebbe essere un problema.	Ma io dico di amare chiunque tu ami e non fare nemmeno la razza un fattore.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Non dovresti andare oltre con quest'uomo, per favore?	Per favore, non andare oltre con questo tizio.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Utilizzare una terminologia che gli ricorda tempi migliori del passato.	Parlare di 'il tempo in cui noi... 'o 'quella volta in cui...'	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Hai idea di dove dovrei andare a incontrarli?	qualche idea su dove potrei andare a incontrarli?	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Se ti piace davvero, vai in gruppo all'inizio.	Se davvero ti piace, vai con il gruppo.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	«Closer» eseguito da Nine Inch Nails è la canzone sessualmente rilevante mai esistita.	Nine Inch Nails — Più vicino la canzone più sexy di tutto il pianeta	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Stanno commettendo le stesse azioni di cui ti accusano.	Qualunque cosa ti accusino, lo stanno facendo.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Oltre ai consigli menzionati in precedenza, agisci semplicemente come faresti normalmente.	A parte questo, sii te stesso!	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Sii divertente e leggermente arrogante.	Sii divertente e un po' presuntuoso.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Basta informarlo dei tuoi sentimenti di non gradirlo nel modo che desidera e dirgli di non rivisitare il soggetto.	Digli semplicemente che non mi piaci così, lasciami andare.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Vedilo così e dimenticati di lui o di lei.	Vedilo cosi' e poi dimenticati di lui o di lei.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Le donne vogliono un uomo che non le tradisca mai.	LE DONNE VOGLIONO UN UOMO CHE NON LI TRADISCA MAI.	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Preferisco lasciare che il tipo me lo chieda.	Certo, va tutto bene, ma ho sempre lasciato che il tipo me lo chieda.	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Avrai più amici di quanto vuoi.	Avrai più amici che vuoi...;)	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	E' bello che tu possa vedere le foto di chi stai parlando.	E' bello, puoi vedere le foto di chi stai parlando!	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Devo sapere cosa fare.	HO BISOGNO DI SAPERE COSA FARE 2	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Amami, amami. Oh Dio mi ama!	AMAMI AMI OH CARO DIO AMAMI!	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Non sarebbe una parola. Sarebbe un'opera cantante.	Non sarebbe una parola, sarei io a cantare l'opera.	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Mi piace la mia vita con l'eccezione del suo urlare e usare parole di giuramento.	Mi piace la mia vita con l'eccezione delle sue urla e le sue culle.	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	So com'e'.	So com'e'.	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Ha una squadra sportiva preferita?	Ha una squadra sportiva di fave?	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Mentre sei via, lui lo farà ancora e ancora.	No perché lo farà più e più volte mentre non ci sei più.	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Suggerisco di dire «Senti, questo non funziona più per me».	bene il modo migliore è dire guarda questo non funziona più in questo.	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	No sorella, non credo.	No sista, io don tink così.	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Allora baciala, fratello, funziona ogni volta.	Poi baciala;) funziona ogni volta fratello!!!!	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Le donne maturano più velocemente degli uomini e alcuni uomini non maturano mai.	Le donne maturano molto più velocemente degli uomini e alcuni uomini non maturano mai.	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Dopo di che non le ho mai comprato un altro regalo.	E da allora non le ho mai comprato un altro regalo.	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Puoi frequentare il tuo corso con lei, se vuoi.	e se vuoi davvero puoi frequentare le sue lezioni con lei.	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Succederà quando sceglierai di essere ricco e potente.	Non lo farete finche' non sceglierete di essere ricchi e potenti.	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Per favore, non implorate amore, denaro o rispetto.	non supplicare per amore non supplicare per soldi e non implorare rispetto.	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Saprai sicuramente quando sei innamorato.	Ma saprai DEFINITIVAMENTE quando sei innamorato!	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Non basare il vostro rapporto su denaro o oggetti materiali.	SEMPLICEMENTE NON BASARE LA TUA RELAZIONE SU SOLDI O COSE MATERIALI.	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Cosa succede se qualcuno facesse questa domanda: «Come posso far notare al mio ragazzo?»	Se qualcuno mi chiedesse: come posso farmi notare dal mio ragazzo?	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Non riesco ad accedere alla chat room.	Non riesco ad accedere alla chat	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Se vivi con un amico, io chiamo quell'amico con dei diritti.	Tu vivi con un amico, e io chiamo quell'amico con dei diritti.	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	È difficile dire da questa domanda, ma sembra che tu stia cercando di cambiare te stesso, e questa è una cattiva idea.	che cercare di cambiare te stesso... a meno che tu non sia davvero incasinato... ma la domanda non ci dà molto da andare avanti	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Non so cosa stia pensando, a volte ci sediamo e guardiamo.	Non riesco a leggergli la mente, ma a volte ci piace guardare.	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Vai in Francia e vedi di persona.	andare in Francia e ascoltare di persona.	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Sapeva che in precedenza uscivo con qualcuno sposato.	Sapeva che il mio ex era sposato.	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Non dovresti lasciare che quello che dicono gli altri ti infastidiscano.	Non mi importa di quello che dice la gente.	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Ti auguro buona fortuna, a prescindere da quale corso prenda.	buona fortuna qualunque cosa tu faccia.	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	L'avvertenza è che io e te non siamo sposati, e questo è accettabile per me.	Finché la tua non mia moglie... va bene con me... lol...	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Raccomando che gli studenti delle scuole superiori non frequentino nessuno che sia ancora nella scuola media.	perché sei ancora alle medie, non suggerisco di uscire con qualcuno al liceo.	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Se questa tattica non ha successo con una persona, allora continua a provare con gli altri.	Se non funziona, prova qualcun altro.	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Forse vorrai informare quest'uomo che se ti fa un'altra telefonata, si tradurra' nella perdita del suo lavoro.	digli che stai per essere licenziato se chiama un'altra volta	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Dopo di che, un gentiluomo è stato coinvolto che ha cambiato tutto!	poi un ragazzo è stato coinvolto e cambiato tutto!	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Sono disposto a farlo, a patto che anche voi quattro lo sarete!	C'è solo uno di me, ma sono disposto se voi quattro lo siete!	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Contrariamente a quanto dicono gli altri, non nascono in quel modo.	In primo luogo, non sono NATI in quel modo, non importa quello che qualcuno cerca di dire.	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Penso che dovresti provare un altro tipo di donna.	Prova un altro tipo di ragazza.	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Lei e tendono ad incrociare strade ogni tanto.	Io e questa ragazza attraversiamo qualche riga qua e là.	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Dovresti dire di si', se lo ami.	Se lo ami davvero, allora sì.	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Sarebbe saggio separarsi da lui il prima possibile.	scaricarlo il più presto possibile è l'unica cosa che si può fare non essere stupido e tenerlo	formality	en	it
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	Ho imparato ad amare me stesso, cosa che non ero in grado di fare in passato.	Ho imparato ad amare me stesso qualcosa che non avevo mai fatto prima.	formality	en	it
