anchor1	anchor2	alternative1	alternative2	correct_alternative	style_type	language
चमक तेरी आंखों में कबूतर से कम नहीं, बाप तेरा भरवा और तू किसी रंडी की भड़वे से कम नहीं..	चमक तेरी आंखों में कबूतर से कम नहीं, तुम्हारा बाप और तुम इंसान अच्छे नहीं..	क्यों जनता को भटका रहा है.. कमीने	क्यों जनता को भटका रहा है..	1	toxic	hi
इनकी सेलेरी पहुंच जायेगी घर पर और गरीब जनता फिर से वही रंडी रोना शुरू कर देगी कि विकास नही हुआ |	इनकी सेलेरी पहुंच जायेगी घर पर और गरीब जनता फिर से वही रोना शुरू कर देगी कि विकास नही हुआ |	तेरी बहन को चोदु मादरचोद भोसड़ी वालों  उसका नाम बिच में क्यु लाते हो.! 	उसका नाम बिच में क्यु लाते हो.!	1	toxic	hi
बात नेहरू की तो उसने इतने गड्ढे किये इस देश में की भेनचोद आज तक नहीं भरे जा रहे समझ गया चरसी 	बात नेहरू की तो उसने इतने गड्ढे किये इस देश में की आज तक नहीं भरे जा रहे समझ गया	मादरचोद तुम सुवरो को दुनिया मे कोई देश पनाह नहीं देगा ||	तुम बेकार लोगों को दुनिया मे कोई देश पनाह नहीं देगा ||	1	toxic	hi
<number> के स्कोर का सत्यानाश कर दिया साले ने	<number> के स्कोर का सत्यानाश कर दिया उसने	अब इसपे कोई न्यूज चैनल और दलाल एंकर आपत्ति भी नही जताएंगे ?	अब इसपे कोई न्यूज चैनल और पक्षपात एंकर आपत्ति भी नही जताएंगे ?	1	toxic	hi
दलाल तक ही रहता भाई, भड्वा गिरि पे क्यूं उतर आया	स्तर तेरा पहले से ही गिरा हुआ था भाई, और नीचे क्यों गिराया 	पहले गोरो को हराया   फिर हरमखोरों बांग्लादेश को हराया	पहले गोरो को हराया फिर बांग्लादेश को हराया	1	toxic	hi
वाह दोगले हरामी पत्रकार सही न्यूज़ नहीं चलाई ?	वाह पक्षपाती बुरे पत्रकार सही न्यूज़ नहीं चलाई ?	एक जैसा न समझ सबको, ओर तू गांड लेके बीच मे न आ	एक जैसा न समझ सबको, ओर तू बीच मे न आ	1	toxic	hi
तुझे तो तेरी औकात जनता ने दिखा दी |	तुझे तो तेरा स्तर जनता ने दिखा दिया |	आजम खान कुछ भी बोलता है । इस मादरचोद को उड़ा दो साले को ।	आजम खान कुछ भी बोलता है । इस को उड़ा दो  ।	1	toxic	hi
पालतू कुत्ता। कितना मुहँ से शौच करोगे	अपने मुँह से कितना ख़राब बोलोगे	तेरी मर्यादा को तेरी गांड में घुसेड़ दूंगा समझा बे!!  कुछ भी उटपटांग लिखते रहते हो ???	तेरी मर्यादा तुझे याद दिला देंगे बे!!  कुछ भी उटपटांग लिखते रहते हो ???	1	toxic	hi
गैस सिलेंडर महंगा हुआ होता तो अभी तक रंडी रोना रोते |	गैस सिलेंडर महंगा हुआ होता तो अभी तक तमाशा कर रहे होते |	तुम सुअर भर तमीज़ से नहीं रह सकते।	तुम थोड़ी भी तमीज़ से नहीं रह सकते।	1	toxic	hi
ये तुम्हारे समझ के बाहर है तुम रंडी रोओ इधर मत घुसो।	ये तुम्हारे समझ के बाहर है तुम बेकार के बहाने करो इधर मत घुसो।	खैर दीदी आपसे नही हो पाएगा अपने मालिक की गलतियां तलचट्टो का कहाँ दिखाई देती है?	खैर दीदी आपसे नहीं हो पाएगा अपने मालिक में गलती आप कैसे निकाल पाएंगे बिना निष्पक्ष हुए ?	1	toxic	hi
तू सही से पढ़ लिया कर रंडि साली	तुम सही से पढ़ लिया करो	पिछवाड़ा चाटने वाला को <number> लाख देता है भड़वा |	चापलूसी करने वाला को <number> लाख देता है यह भ्रष्ट आदमी |	1	toxic	hi
तेरा लौंडा  बहुत  बैट लेकर  घूमता  और  सरकारी  अफसर को  पीटता है । 	तेरा लौंडा सरकारी अफसर के बारे में कुछ भी बोलता है |	पोस्टर बनाने बाले कि बेटी मादरचोद मेरे पास ही चुदेगी लौड़े	पोस्टर बनाने वाले पर सख्त से सख्त कार्रवाई होनी चाहिए 	1	toxic	hi
पत्रकारों को ज़बरदस्ती मूत पिलाने की ज़रूरत ही नहीं |	पत्रकारों से जबरदस्ती कोई काम करवाने की जरूरत नहीं |	खुद का खून जला जला कर ये एनामिक होने को पूरी तरह से ततपर दिखते है	बात बात पर गुस्सा होने को पूरी तरह से ततपर दिखते है 	1	toxic	hi
केजरीवाल हरामी सुअर भड़वा है | ऐसा मेरे मोहल्ले वाले लोग कह रहे थे ||	केजरीवाल अच्छा आदमी नहीं है | ऐसा मेरे मोहल्ले वाले लोग कह रहे थे ||	लगता है मेरठ के लोग भड़वा बन गए है	लगता है मेरठ के लोग बेकार बन गए हैं 	1	toxic	hi
अब रण्डी रोना कर दिए होते भड़वों तुम लोग	अब बेकार का तमाशा कर दिए होते तुम लोग 	तेरे गांड के गलिचे ना बना दिये तो बोलना	तेरी कुटाई ना कर दी तो बोलना 	1	toxic	hi
साले रंडी की औलाद चुप हो जा	बुरे आदमी चुप हो जा	ये भड़वा सरकार आखिर क्या करना चाहती है ।।।।	ये सरकार आखिर क्या करना चाहती है ।।।।	1	toxic	hi
रंडि के पैदाइस कुछ नहि बोलेगे ?	यह लोग कुछ नहि बोलेगे ?	क्योंकि ऐसा बोलने वाले सड़क छाप सच्चे नहीं होते...	क्योंकि ऐसा बोलने वाले सच्चे नहीं होते...	1	toxic	hi
घर से बाहर आकर उन सांपो को सबक नही सिखा सकते?	घर से बाहर आकर उन को सबक नही सिखा सकते?	भाजपा जॉइन कर के रजिस्टर्ड भड़वा कब बन रहे हो..???	भाजपा जॉइन कर के रजिस्टर्ड बुरे आदमी कब बन रहे हो..???	1	toxic	hi
और ये रोहित ने घुसेड़ा पहला छक्का गांड में..	और ये रोहित ने मारा पहला जबरदस्त छक्का..	जिसका भला माँ का दूध पीने से नही हुआ वो बाप का लुंड चाट कर क्या उखाड़ लेगा ।	जिसका भला माँ की परवरिश से नही हुआ वो बाप से क्या सुधरेगा |	1	toxic	hi
ये हैं महासभा की राष्ट्रीय महासचिव जो राष्ट्रपिता पर गोली चला रहीं हैं!	ये हैं महासभा की राष्ट्रीय महासचिव जो राष्ट्रपिता को कुछ भी बोल रहीं हैं!	तू नही सुधरेगा तू कमीना का कमीना ही रहेगा , चूतिया।	तू नहीं सुधरेगा वैसा का वैसा ही रह जाएगा |	1	toxic	hi
भेनचोद ये क्या चूतियापा हो रहा है?	ये क्या फालतू का काम हो रहा है?	ये हरामी अपनी हरकतों से बाज नही आ रहे है	ये बुरे लोग अपनी हरकतों से बाज नही आ रहे है	1	toxic	hi
इतना दोगला पन कहा से लाते हो लुच्चो ?	इतना चाटुकारिता कहा से लाते हो?	तेरी मां का भोसड़ा जिस धोनी के नाम पर उछल रहा है ना उस धोनी को दादा ने बनाया तीन नम्बर पर बैटिंग करवा कर	जिस धोनी के नाम पर उछल रहे हो ना उस धोनी को दादा ने बनाया तीन नम्बर पर बैटिंग करवा कर	1	toxic	hi
साला बल्ला तो बिल्कुल चलता ही नहीं है इसका मादरचोद	बल्ला तो बिल्कुल चलता ही नहीं है इसका	इन जैसे चमार, सुअर का प्रमोशन करके मै इन्हें फेसबुक से ट्विटर पर ले आई हूं।	इन जैसे बुरे लोगों का प्रमोशन करके मै इन्हें फेसबुक से ट्विटर पर ले आई हूं।	1	toxic	hi
कीचड़ उकालने वाला नीच किस मुंह से श्रद्धांजलि दे रहा है?	कीचड़ उकालने वाला यह इंसान क्यों श्रद्धांजलि दे रहा है?	कल रिटायर होगा तो सब यही लोग थैंक यू धोनी वाले ट्वीट पर रंडी रोना करेंगे	कल रिटायर होगा तो सब यही लोग थैंक यू धोनी वाले ट्वीट पर तमाशा मचाएंगे	1	toxic	hi
जिसने तुम हरामियों को पनाह दी उसने भुगता	जिसने तुम को पनाह दी उसने भुगता	ये दिखा रही कि देखो हमारी गाँड आसानी से मर सकती है पर जैसे ही तुम मारने को आओगे हम गाँड उचका देंगे	ये दिखा रही कि देखो हम आसानी से पकड़े जा सकते हैं पर जैसे ही तुम आओगे हम भाग जाएंगे 	1	toxic	hi
नीम का पत्ता कड़वा है, .......साला भड़वा है।।	वह नीम के पत्ते जैसा कड़वा है , .... एक अच्छे आदमी नहीं है | |	धोनी से ज्यादा तो हार्दिक गांड़ फाड़ देता है..    अगला मैच हार्दिक खेलेगा	धोनी से ज्यादा अच्छा तो हार्दिक खेलता है..   अगला मैच हार्दिक खेलेगा	1	toxic	hi
जलेबी तो गईं, पर कुत्ते की जात पहचानी गई	परेशानी तो हुई, पर उसके बारे में बहुत कुछ बात गई	ये रंडी कांग्रेस की बड़ी दुश्मनों में से एक	ये कांग्रेस की बड़ी दुश्मनों में से एक	1	toxic	hi
ये हराम का पिल्ला हरामखोर हरामी है जिस का खाता है उसी में ये हरामखोर छेद करता है।।	ये धोखेबाज जिस का खाता है उसी के साथ धोखा करता है।।	टीवी पे देखते ही सूखी टट्टी याद आ जाती है 	टीवी पर देखते ही कब्ज याद आ जाती है 	1	toxic	hi
तुम्हारे जेसे दल्ले का तो कहना ही क्या	तुम्हारे जेसे चापलूस लोगों का तो कहना ही क्या	हरामी भोसड़ीके बिजली चोर हो तुम	बुरे इंसान बिजली चोर हो तुम	1	toxic	hi
अबे कुत्तों के पिल्लो जब बिहार में बच्चे मर रहे थे तो तुम सूआर  बन कर गू खा रहे थे?	अबे जब बिहार में बच्चे मर रहे थे तो तुम कहाँ थे?	यहाँ भोसडीके हम चार लौंडे बैठ के मैच देख रहे	यहाँ हम चार लौंडे बैठ के मैच देख रहे	1	toxic	hi
तुम अब विनाश काले विपरीत बुद्धि हो	तुम्हारी सोच अब खराब हो गई है 	आ गया भडवा नीच आदमी, राजनीति करने ।	जिसको राजनीति नहीं आती है, आ गया वह राजनीति करने |	1	toxic	hi
रात को भेनचोद दारु के साथ मिक्सिंग में राखी सावंत के वीडियोस देख के ये हालत हुई है इसकी...	रात को दारू के साथ अश्लील वीडियोस देख के ये हालत हुई है इसकी...	मूर्खो! ये घर में बैठकर कमेंट में किसी को गाली देना कौन सी बहादुरी है?	ये घर में बैठकर कमेंट में किसी को गाली देना कौन सी बहादुरी है?	1	toxic	hi
ठोक ठोक के इतना गन्दी औलाद पैदा किया है	तुम्हारी औलाद अच्छी नहीं है 	भड़वा निकाल दे अपने दिमाग से हरा सौच।	निकाल दे अपने दिमाग से हरा सौच।	1	toxic	hi
भोंसड़ी के तेरे पिछवाड़े में कांग्रेस का पंजा पड़ेगा तो समझ मे आएगा	जब कांग्रेस जीतेगी तभी तुझे समझ मे आएगा 	 तू ग़ज़िआबाद आया तो तेरी गांड में गधे का लंड दे दूंगा लैट्रिन	तू ग़ज़िआबाद आया तो तुझे अच्छा सबक सिखाएंगे 	1	toxic	hi
अभिनेत्री ने अभिनय हराम बता फिल्में छोड़ीं। तो क्या सायरा,  शबाना,  सलमान,  शाहरुख , अमीर, आदि हरामी हैं ?	अभिनेत्री ने अभिनय हराम बता फिल्में छोड़ीं। तो क्या सायरा,  शबाना,  सलमान,  शाहरुख , अमीर, आदि गलत काम कर रहे हैं ?	कुछ नेता तो इतने कमीने टाइप के होते हैं	कुछ नेता तो इतने गंदी सोच वाले होते हैं 	1	toxic	hi
इसकी तो बॉलिंग के समय गांड फाड़ेंगे	इसको तो बॉलिंग के समय दिखा देंगे 	इस्लाम में जो-जो हराम है, अगर उसकी सूची बनाकर मुसलमानों पर टेस्ट किया जाए . तो अधिकतर मुस्लिम हरामी ही मिलेंगे।	इस्लाम में जो-जो हराम है, अगर उसकी सूची बनाकर मुसलमानों पर टेस्ट किया जाए . तो अधिकतर मुस्लिम हराम काम करने वाले ही मिलेंगे।	1	toxic	hi
जिगर चाहिए   जो तुम जैसी फ़टु सुअर की औलादो के पास नही है 	जिगर चाहिए जो तुम्हारे पास नहीं है	तू क्या अपूर्वानन्द का दलाल है अपूर्वानन्द कितने साल का है जो आजादी के पहले का बता रहा है	तू क्या अपूर्वानन्द की चापलूसी करता है अपूर्वानन्द कितने साल का है जो आजादी के पहले का बता रहा है	1	toxic	hi
भेनचोद देख इस को लोग मिलकर बेरहमी से पीट रहे है  !!	देख इस को लोग मिलकर बेरहमी से पीट रहे है !!	मादरचोद हम नेपाल चले जाएं ?	हम नेपाल चले जाएं ?	1	toxic	hi
भोसडीके ये अफवाह नही सत्य है। सारे का हिस्सा खा रहे हो तुम लोग	ये अफवाह नही सत्य है। सारे का हिस्सा खा रहे हो तुम लोग	सोजा  भैनचोद, हर कोई नया नया चुटकुला करता रेहता हे	सोजा, हर कोई नया नया चुटकुला करता रेहता हे	1	toxic	hi
सूअर की तरह बच्चे पैदा कर लेते हैं उनके लिए खाने को भी इंतजाम करना पड़ता है 	इतने सारे बच्चे पैदा कर लेते हैं उनके लिए खाने को भी इंतजाम करना पड़ता है 	हम लात मारकर भगाते हैं, चल भाग सुअर 	हम बेइज्जत करके भगाते हैं, चल भाग	1	toxic	hi
रंडी रोना शुरू कर दे धोनी आज धागा खोल देगा ।	शिकायत करना शुरू कर दो धोनी आज धागा खोल देगा ।	गांड़ में मिर्ची क्यों लगती है।	तेरी इतना जलती क्यों है |	1	toxic	hi
अबे भोसडीवाले जिसकी रंडी की तुम लोग दलाली खाते हो उससे कभी पूछो की पैसा कहाँ से उसके पास आया है।	उस भ्रष्ट औरत से कभी पूछो की पैसा कहाँ से उसके पास आया है।	कोई हरामि कुछ भी करे कोई मतलब नही, बस कोई हमारी बहन बेटियो की इज्जत से न खेले	कोई कुछ भी करे कोई मतलब नही, बस कोई हमारी बहन बेटियो की इज्जत से न खेले	1	toxic	hi
कश्मीर को मिलाया भारत में आज ही अमिश भड़वा की तरफ से खुशखबरी !?	कश्मीर को मिलाया भारत में आज ही अमिश की तरफ से खुशखबरी !?	जब बात किसी को बदनाम करने की होती है तो कुछ लोग कुत्ते से भी ज्यादा तेज भोंकते हैं 	जब बात किसी को बदनाम करने की होती है तो कुछ लोग बहुत तेजी दिखाते हैं 	1	toxic	hi
गेंडे की औलाद   भड़वे-दलाल   देशद्रोही-गद्दार   हरामखोर कमीने   और कुछ बाकी रह गया हैं तो आप खुद समझ जाईए 	सारी गालियां उसको दे दी  और कुछ बाकी रह गया हैं तो आप खुद समझ जाईए 	भड़वे तुम से तो ये जानवर भी समझदार है	तुम से तो ये जानवर भी समझदार है	1	toxic	hi
बेटा ये ऑरेंज है ना कि भगवा। समझे भड़वा।	बेटा ये ऑरेंज है ना कि भगवा। समझे।	दम हैं गाँड मैं यह काम करने की?	दम हैं यह काम करने की?	1	toxic	hi
मुंबई हुई पानी-पानी, सिस्टम की आंखों में सूखा भेनचोद पानी? 	मुंबई हुई पानी-पानी, सिस्टम की आंखों में सूखा पानी?	मादरचोद इसने कांग्रेस को कहा से कहा पहुँचा दिया,	इसने कांग्रेस को कहा से कहा पहुँचा दिया,	1	toxic	hi
सुवर अब तो बदल जाओ भोसडीका	अब तो बदल जाओ अपनी बुरी आदतों से 	थू है ऐसे लोगो पर, और समाज पर |	ऐसे लोगो और समाज पर शर्म आती है |	1	toxic	hi
अरे भेनचोद चुतीया तु केरेक्टर की बात कर रहा है,	बुरी सोच वाला आदमी तु केरेक्टर की बात कर रहा है,	चुप मादरचोद मेरी बाइक तुमने तोड़ी 	चुप कर अब मेरी बाइक तुमने तोड़ी	1	toxic	hi
उनमें एक ये टोटिचोर शामिल है !!!	उनमें एक ये बेकार आदमी शामिल है !!!	आगे कुछ लिखने की ज़रूरत नहीं है भोसड़ीके।	आगे कुछ लिखने की ज़रूरत नहीं है।	1	toxic	hi
भोसड़ीके यहां आकर बात कर तुझे जवाब देंगे। 	यहां आकर बात कर तुझे जवाब देंगे। 	हलाला की पैदाइश सूअर की औलाद तू चुप कर	बुरे व्यवहार के आदमी तू चुप कर	1	toxic	hi
मीडिया तो है मादरचोद लेकिन प्रशासन क्या कर रही थी?	मीडिया को तो छोड़ो लेकिन प्रशासन क्या कर रही थी?	चला है लोडा एक्सपर्ट बनने...	चला है एक्सपर्ट बनने...	1	toxic	hi
देखिए आज की रिपोर्ट अमीश भड़वा से	देखिए आज की रिपोर्ट बेकार अमीश से	मादर चोदो समाचार दिखाना जैसे हुआ वैसे	समाचार दिखाना जैसे हुआ वैसे	1	toxic	hi
ऐसे भड़वा लोगो से मु से बात नहीं होनी चाहिए इनसे हाथ और पैरो से बात होनी चाहिए	ऐसे लोगो से मु से बात नहीं होनी चाहिए इनसे हाथ और पैरो से बात होनी चाहिए	किसी बहन के लौड़े की अवाज नही निकली	किसी की भी अवाज नही निकली	1	toxic	hi
सोचिये ऐसी नीच सोच के इस व्यक्ति ने भोली-भाली जनता को कितनी बेरहमी से लूटा-खसोटा होगा |	सोचिये ऐसी खराब सोच के इस व्यक्ति ने भोली-भाली जनता को कितनी बेरहमी से लूटा होगा |	ज़रा सुनिए कुछ लोगों का स्तर कितना गिरा हुआ है। हरामी नीच	ज़रा सुनिए कुछ लोगों का स्तर कितना गिरा हुआ है।	1	toxic	hi
देख भोसडीके अपुण सेलिब्रिटी है अभी	देख अपुण सेलिब्रिटी है अभी	यह काला सूअर भी तो 10 जनपद का टॉयलेट साफ करने वाला है	यह भी तो 10 जनपद का टॉयलेट साफ करने वाला है	1	toxic	hi
यहां भडवा की गांड जल रही है।	यहां उसकी जल रही है।	अरे भेनचोद, भोसडीका है तुझे क्या समझ कर वोट दिया और तु क्या निकला।	तुझे क्या समझ कर वोट दिया और तु क्या निकला।	1	toxic	hi
पकिस्तान वाले ट्विस्टर पे मैच फिक्स वाला रन्डी रोना कर रहे हैं 	पकिस्तान वाले ट्विस्टर पे मैच फिक्स का तमाशा खड़ा कर रहे हैं 	यह है मादरचोद कॉंग्रेस की राजनीति  इन मादर चोदो कांग्रेसियों  ने इतना गंद फैलाया है	यह है कॉंग्रेस की राजनीति इन कांग्रेसियों ने इतना रायता फैलाया है	1	toxic	hi
पन्नी फुक्का है क्या तब से कुछ भी बोला जा रहा है भोसड़ी के 	क्या खाकर आया है तब से कुछ भी बोला जा रहा है	भड़वा मगर तुजे तो पता चले !	मगर तुजे तो पता चले !	1	toxic	hi
दरअसल गलती हम लोगों की है हम लोगों को भी चाहिए कि तोड़ फोड़ का जवाब तोड़ फोड़ से दे और मौत का बदला मौत ही दे	दरअसल गलती हम लोगों की है हम लोगों को भी चाहिए कि जो जैसा हमारे साथ करें हम भी वैसा ही करें उसके साथ	राजनीति में एक आतंकी नेता आ गई हैं, कभी शहीद का अपमान कर रही तो क़भी राष्ट्रपिता की हत्यारे का सर्मथन	राजनीति में एक बुरी नेता आ गई हैं, कभी शहीद का अपमान कर रही तो क़भी राष्ट्रपिता की हत्यारे का सर्मथन	1	toxic	hi
आज कल तो रेप आम बात हो गई ऐसा लगता है, साले हरामी पर कड़ी लगाम लगाना जरूरी है ।	आज कल तो रेप आम बात हो गई ऐसा लगता है, बुरे लोगों पर कड़ी लगाम लगाना जरूरी है ।	इस मधरजात को इतना मारो की दुबारा खुद की बहन को भी देखने मे इसके पसीने छुटे हरामी साला।	इसको ऐसा सबक सिखाओ कि किसी दूसरी औरत को कभी गंदी नजर से ना देखे |	1	toxic	hi
उनकी गांड में गोली मारो।।	उनपर सख्त से सख्त कार्रवाई करवाओ ।।	दो चार को शूट करो ये हरामी लोग अपने आप चिल्लाना बन्द कर देंगें।	दो चार पर कड़ी कार्रवाई करो ये बुरे लोग अपने आप चिल्लाना बन्द कर देंगें।	1	toxic	hi
तुम्हारे साथ सारे विपक्षी भड़वा डांस कर रहे होते।	तुम्हारे साथ सारे विपक्षी बेकार की बातें कर रहे होते |	भोसडीके ऑनलाइन ट्रांसफर कर दे पूरा पैसा और चिल कर..	ऑनलाइन ट्रांसफर कर दे पूरा पैसा और चिल कर..	1	toxic	hi
मैं समस्त जौनपुर वालो से आग्रह करता हु की ऐसे नाली के कीड़ों को समाज से बाहर करो जो हमारे जौनपुर का नाम खराब करते है।	मैं समस्त जौनपुर वालो से आग्रह करता हु की ऐसे लोगों को बाहर करो जो हमारे जौनपुर का नाम खराब करते है।	शख्सियत काम से बनती है झूठ और फरेब से नही बनती गन्दी सोच वाले	शख्सियत काम से बनती है झूठ और फरेब से नही बनती बुरी सोच वाले	1	toxic	hi
ताकि तुम इस तरह पैसे उडाओ. भोसड़ीकी बाप का पैसा है क्या ?	ताकि तुम इस तरह पैसे उडाओ. तुम्हारे बाप का पैसा है क्या ?	अरे देखो देखो कौन भोंकी ओ हेलो तू तेरी उंगलियों का उपयोग ट्वीट करने में नहीं कही और ही चला	तू तेरी उंगलियों का उपयोग ट्वीट करने में नहीं कही और ही चला	1	toxic	hi
समस्या तुम जैसे मादरचोद ढोंगी पुजारी है।	समस्या तुम जैसे ढोंगी पुजारी है।	तेरे जैसों हरामी दलालों की पैदाईश पे ताली नहीं गाली देकर जाते हैं।	तुम्हारे जैसे बुरे लोगों पे ताली नहीं गाली देकर जाते हैं 	1	toxic	hi
