anchor1	anchor2	alternative1	alternative2	correct_alternative	style_type	language
Non, tu n'es point un gourou. Tu es simplement toi-même.	Non tu n'es pas un gourou, tu es tout simplement toi	Bon, nous allons te quitter.	Bon on va te laisser.	1	formal	french
"Il est possible que se soit le fait que vous l'aimiez ""bien"" qui le rende anxieux."	"tu l'aimes ""bien"" c'est peut être ça qui lui fout les boules !!!"	Oui, c'est possible. J'ai un ami que je considère comme un frère pour moi.	oui, c'est possible, j'ai un ami  qui est comme un frère pour moi.	1	formal	french
Tu n'as pas besoin de t'enfuir: assume, comme un adulte.	T'as pas besoin de fuguer,t'as besoin de t'assumer car t'es adulte.	Ton mari est profondément obnubilé par sa propre personne!	Ouah, il est nombriliste ton mari !	1	formal	french
"Elles aiment une longueur ""normale"", l'essentiel étant que ça leur fasse du bien. La longueur n'a pas tant d'importance."	elles aiment une longueur normale mais surtout que ça leur fasse du bienla longueur pas tellement d'importance	Je ne le sais pas, je ne suis pas dans sa peau.	je sé pas moi je suis pas dans sa peau	1	formal	french
Aie confiance en tes capacités, cela se réalisera!	ai un peu plus confiance en toi ca viendra!!!	Je n'ai aucune idée sur le fait que vous soyez croyante ou non.	Je ne sais si tu es croyante!	1	formal	french
"Peut-être devrais-tu également essayer une position où tu serais plus ""écartée"". Par exemple, il peut être allongé tandis que, toi, tu le chevauche."	"Essaye aussi une position où tu sera plus ""écarté"", exemple lui allongé, toi dessus comme si tu le chevauchais."	Refuses de lui faire l'amour quelques jours et tu verras sa réaction.	refuse lui le sexe quelques jours et tu verras sa réaction,,,	1	formal	french
Je préfère continuer à offrir même si cela est couteux, et que cela n'est pas réciproque.	je prefère offrir meme si on ne reçoit rien en retour et ke c tres couteux	Ne la fait pas souffrir sans raison.	ne la fais pas souffrir inutilement	1	formal	french
Ça ne se fait pas de parler la bouche pleine. C'est malpoli.	On ne parle pas la bouche pleine c'est impoli.	Prétendre que l'on ne veut pas faire souffrir est un prétexte facile pour ne pas choisir.	!C'est trop facile de ne pas choisir sous pretexte de ne pas faire souffrir.	1	formal	french
Voici un autre exemple d'une personne qui parle d'un sujet qu'elle ne connait pas!	Encore un qui parle avec les mains et avec les doigts !	Parce que pour les garçons, le physique est le plus important malheureusement.	parce que pour les mecs le physique passe en premier malheureusement	1	formal	french
J'irai en prison parce que je les tuerai tous le deux.	je vais en taule par ce que je les tue tous les deux	Ce n'est pas sur l'internet que l'on pourra résoudre votre problème à moins que ce soit une mauvaise blague.	C'est pas sur le net que l'on pourra résoudre votre problème à moins que ce soit une blague de mauvais goût	1	formal	french
Cela arrivera, je le vois dans ma boule de cristal !	!Ca va venir, je le vois dans ma boule de cristal!	"Vous devriez cliquer sur le bouton représentant votre profil, situé en haut et à gauche de votre écran puis regarder dans la section ""mes questions""."	clique sur ton avatar en haut a gauche puis va voir dans mes questions	1	formal	french
Je n'ai pas essayé mais il paraît que ça abîme les yeux.	pas testé nonmais il paraît que ça brûle les yeux	Ce n'est pas mon style d'en avoir plusieurs.	c' est pas mon style d' en avoir plusieur	1	formal	french
Oui de tout cœur.	Oh putain que oui !!	En ce qui me concerne, c'est une accumulation de menus détails.	pour moi c pleins de ptites choses !!	1	formal	french
Occupez-vous bien d'elle et vous serez béni.	PREND SOIN D'ELLE ET TU SERRAS BÉNI.	Tu ferais bien d'avancer dans la vie sans regarder derrière toi !	?Tu ferais mieux d'avancer dans la vie sans te retourner!	1	formal	french
Après trente-deux ans de mariage, mon mari m'a affirmé qu'il m'aimait.	Mon mari m a dit qu il m amait apres 32 ans de marioge.	Même sans en arriver là, je ne les jugerais pas négativement.	même en n’allant pas jusque là, je ne les jugerais pas mal.	1	formal	french
Tu pourrais lui poser la question mais j'y vois peu d'utilité si vous n'êtes plus en couple.	tu lui pose la question mais franchement si c ton ex je ne pense pas que ca serve a gd choz!	J'apprécierais que tu reformules ta question.	merçi de réformuler ta question	1	formal	french
La femme sophistiquée, elle coûte cher!	!Et puis la nana sophistiquée coute cher!!	Qu'il en soit ainsi, je n'aurais donc de cesse de vous médire à chacune de vos questions.	cool, je t'insulterais à toutes tes questions!!	1	formal	french
Bonne chance, tu es déjà conscient de ton problème. Tout n'est pas perdu.	allez courage, déjà tu sais que tu as ce probleme, tout n'est pas perdu.	Quitte-le avant qu'il ne te quitte.	Quitte le avant de te quitter.	1	formal	french
Personnellement, cela ne m'excite pas.	euh moi perso ca m'exite pas	C'est typique de la saison, l'air froid et la surface du sol relativement chaude.	c est de saison, l air froid et une terre plus ou moins chaude	1	formal	french
Tu es dans le vrai si vous vous aimez.	tu as raison si vous vous aimez.	Loin de moi l'intention d'être odieux cependant tu as certainement des a priori sur les personnes qui t'entourent.	sans etre méchant(e) tu a peut etre de prégugée sur les personne qui t'entour!	1	formal	french
Qu'est-ce que vous voulez dire par là ?	C'est à dire ?!!	Je suis tombée enceinte malgré la pillule, qui ne protège en aucun cas contre les maladies sexuellement transmissibles. Je préfère l'usage combiné de la pillule et du préservatif.	je suis tombée enceinte avec la piluleet elle ne protège en aucun cas des MST Préfère pilule+ capotesbisous	1	formal	french
Cela ne me dit rien.	ça n me dit rien	Je viens juste de me reconnecter sur internet après avoir passé une semaine sans ordinateur PC.	je viens de me reconnecter apres une semaine sans pc!!	1	formal	french
Oui parfois, cependant examines bien cette voie avant de t'y engager!	des fois oui mais examine bien avant de t'y engager !!!	On punit de manière plus juste quelqu'un que l'on aime bien.	On punit plus justement quelqu'un lorsqu'on l'aime bien	1	formal	french
Ne le fait qu'une seule fois.	fait le qu'une fois!	Je pense que oui, mais seulement pour un moment.	je pense que oui, mais un temps seulement	1	formal	french
Donc c'est oui en ce qui me concerne, mais si quelqu'un d'autre ne le veut pas, il y a plusieurs autres façons de s'amuser.	Donc oui pour moi mais si qq ne le veut pas il y a tellement de facons de s amuser.	Si tu aimes cette fille, change pour la garder!	Si tu apprécie vraiment cette fille prends sur toi pour la garder!	1	formal	french
Il faut avoir une alimentation saine et équilibrée sinon cela risque de te poser des problèmes.	Faut pas bouffer tout et n'importe quoi parce qu'après c'est la cata.	Ce qui est en mesure la faire durée une année sera également en mesure de la faire durer encore plus longtemps, donc il n'y a aucune inquiétude à avoir.	qui la fait durer une année pourra la faire durer plus alors pas de souci	1	formal	french
Tel homme peut aimer quelque chose qu'un autre n'aimera pas du tout!	!tu c un hom aimera tel truc alor kun otre naimera pas!	J'hésite entre ma jouer ma guitare ou manger tout ce qui est dans le frigo, j'en ai de besoin.	jesite entre ma guitare ou tous se qui ya dans mon frigo jen aurrait peuetre besoin	1	formal	french
Vous devriez peut-être accepter de voir que votre amour n'est pas encore au niveau de confiance qui vous permettrait de tout vous dire.	peut etre que tu ne l aimes pas au point de vouloir le lui dire sinon tu le ferais.	"Tu veux dire ""mille fois l'amour avec une femme"" ou ""une fois l'amour avec mille femmes"" ?"	tu veux dire mille fois l'amour avec unefemme, ou bien une fois l'amour avec mille femmes !!	1	formal	french
Si vous êtes partants tous les deux, allez-y !	Si vous êtes tous les deux partants, foncez !	L'amour ne dure pas toujours.	L'amour, ça ne dure pas toujours toujours !	1	formal	french
Je souhaiterais que Santa Claus me dote de pouvoirs magiques pour pouvoir exaucer mes vœux !	j'aimerai que le pere noel vienne me voir et m'apporte une baguette magique	Ça nous démange dès que l'on se sent enfermés !	ca démange des qu on se sent enfermé!	1	formal	french
Un ami, dans notre époque, c'est très rare pour éviter de dire inexistant.	un ami dans notre époque est très rare si je ne dis inexistant.	Tu ne mérites pas d'avoir une femme comme elle.	Cette fille tu ne l'as mérite même pas à la limite.	1	formal	french
Si vous êtes comme Diam's, peu importe à quel point vous chercherez, vos efforts seront vains.	si tu ressemble a Diam's tu peux toujours chercher tu trouveras pas	Je vous souhaite beaucoup d'amour!	Je vous envoie tout plein d'amour!	1	formal	french
Tu es une personne qui apprécie avoir des relations intimes.	Tu est un gros queutard !	Les histoires d'amour finissent mal en général, c'est bien connu.	Les histoires d'amour finnisent toujours mal, c'est bien connu :))	1	formal	french
Vous me peinez vraiment ma chère mère !	ouiiin maman t'es méchante :(	C'est la question que je me pose et je n'ai toujours pas de réponse. Je cherche en moi mais je ne trouve pas.	question que je me pose et je n ais toujours pas de solutionje cherche en moi mais je ne trouve pas	1	formal	french
J'en arrive à un point où je commence à avoir des doutes.	je finie par me poser la question	Non mais néanmoins son heure n'avais pas encore sonné.	Non pourtant son heure n'a pas encors sonnee .	1	formal	french
Bien sur, le mal est déjà fait, alors fonce!	bien sur, le mal est fait alors lache toi !	Tu devrais mieux choisir tes partenaires, chère amie!	Faut mieux choisir tes partenaires, ma petite fleur !	1	formal	french
Vous devez vous accepter et vous estimer à votre juste valeur.	de se donner un peu de fierte en soi meme	Apprendre à écrire est une occupation utile à laquelle je t'invite.	Je t'ai trouvé une bonne occupation : apprendre à écrire !!	1	formal	french
Le début est lorsque nous sommes disponibles.	et ca commence quand on veut se liberer	Je vous répondrai par une question, à savoir pourquoi les hommes en ressentent davantage l'envie que les femmes.	je vais te répondre par une question : pourquoi les hommes ont plus envie que les femmes!!	1	formal	french
Je n'ai quant à moi rencontré que des hommes sincères.	moi je n ai rencontre que des hommes sinceres.	Il manque des détails à ton explication, mais si tu n'as ni d'enfant ni famille qui te retienne, vas de l'avant!	Ta situation n'est pas très bien expliqué mais si tu n'a pas d'enfant de famille ect fonce!!	1	formal	french
Si elle t'a dit que votre relation est terminée, c'est qu'elle ne t'aime pas. Tu devrais passer à autre chose.	si elle  ta dit ke c fini c kele taime pas alors laisse tomber	J'ai eu l'occasion de le visiter et je le trouve bien !	Je l'ai visité et je le trouve bien!!!!!!!!!!!!	1	formal	french
Parce que tu n'a pas encore trouvé ton conjoint.	parce que tu n as pas trouvé ta moitié encore.	Essayez un parfum à l'abricot, l'odeur est discrète.	Essayez-vous un parfun senteur Abricot, c'est trés discret	1	formal	french
"L'expression ""sexe faible"" est en réalité plutôt machiste."	"Ce terme ""sexe faible"" est plutôt maccho, en fait."	C'est excitant de la part de son partenaire, désagréable sinon.	Excitant si de son partenaire, vexant si c'est quelqu'un d'autre.	1	formal	french
Je vous souhaite bien du succès malgré tout.	Bonne chance quand meme!	N'étant malheureusement pas aussi flexible qu'un gymnaste.	n'ayant pas la souplesse d'un gymnaste !	1	formal	french
Le fait est que bien souvent, nous ne sommes conscient que d'une face de la réalité.	meme normalement la realite nous aura donne qu'une seule facette d'elle meme.	A moins que ce ne soit deux années après.	ou deux ans plus tard .	1	formal	french
Mon petit-ami m'avait dit qu'il trouvait ça mignon.	Mon copain m'avait dit trouver ça mignon.	Si tu es amoureux de lui, déclare-lui ta flamme car il se peut qu'il soit juste timide.	si tu l'aimes alors déclare toi car si ça se trouve il est  juste timide	1	formal	french
Si par chance je pouvais le savoir.	Si seulement je le savais!!	Il faut qu'on arrête de croire au père Noël.	arrêtons de croire au père Noël.	1	formal	french
Ce n'est pas le cas, il faut toujours faire attention à ne pas tomber dans la monotonie.	non pas dutout car il faut savoir varier les plaisirs.	J'aimerais tellement te réconforter.	ke j'aimerai te réconforter!!	1	formal	french
Je ne suis pas d'accord du tout !	Je ne pense pas du tout!!!	Tu pourrais le faire, par contre je ne suis pas du tout convaincu que ce soit bénéfique pour toi ou pour l'autre personne.	tu peux le faire, maintenant est-ce que c'est bien pour toi et pour l'autre personne, c'est loin d'être sûr	1	formal	french
Si tu es à la recherche de quelque chose d'autre, tu devrais aller sur un site de rencontres.	si tu cherches autre chose, va sur un site de rencontres.	Il ne se cache pas, il reste plutôt au chaud chez lui!	il se cache pas, il reste au chaud chez lui !	1	formal	french
Même si l'on s'aime, une relation à distance aura toujours des impacts.	On a beau s'aimer, quoiqu'on dise la distance a toujours des effets!!	Parce que tu le prend peut-être pour quelqu'un d'autre.	parce que tu le pren peu etre pou quelque chose d'otre!	1	formal	french
Tu as peut-être posé une question.	t a  peut etre poser une question	L'amour ne se trouve pas, il se présente à nous de manière inattendu.	on ne trouve pas l'amour, on tombe dessus avec un peu de chance.	1	formal	french
Et en prenant son temps.	en ne se préciptant pas !!!	Par crainte de me retrouver éternellement séparé de mon amoureuse.	De peur que je perde à vie mon amoureuse	1	formal	french
Cela l'amènera à se retrouver dans ta situation !	cela va l'amener à se retrouver dans ta situation!	Je pense que oui.	oui je crois que oui.	1	formal	french
Oui mais c'est mon rôle le ministre des bisous!	mais oui , c'est mon role de ministre des bisous !!!!	Pourquoi pas s'il est fidèle !	euh ba pk pas si il est fidele !	1	formal	french
Tout le monde sait bien que tu as fait du copier/coller. Mais on dirait que ça ne te fait rien si on t'exclue !	Tout le monde sait que tu as fais copier/coller, mais on dirait que tu t'en fiche si on te supprime mdr !	Il change par amour pour toi, et réciproquement, tu dois lui en laisser le temps.	Il change par amour, et toi par amour tu dois lui laisser le temps.	1	formal	french
Excuse-moi Mademoiselle, où la route vers l'enfer se trouve-t-elle ?	exuse moi mlle ou est la route vers l'enfers	La question est comment savoir si une personne est sérieuse? Quelle soit fausse ou vraie.	La question est comment savoir si une personne est sérieuse?quel soit virtuel ou réel	1	formal	french
Tu devrais être franc avec elle et lui indiquer que tu n'es pas amoureux d'elle.	sois franc avec elle, dis lui que tu ne l aimes pas	Non, c'est un beau-parleur qui trouver les arguments pour avoir des relations intimes avec les femmes.	nan c juste un homme qui sait parler pour avoir les femmes ds son lit	1	formal	french
Les bouquets de fleurs étaient magnifiques, très frais et très bien emballés. Ils sont arrivés dans le même état qu'ils sont partis !	Les bouquets etaient magnifiques, tres frais et tres bien emballes (arrives comme ils sont partis!	On peut presque dire qu'il s'agit de quelque chose que l'on voit très fréquemment.	Cé presque une monaie courante.	1	formal	french
Juste au centre de mon salon; sans dispute, tout est possible.	au milieu de mon salon,tout simplement,pas de bagarre,tout se fait	Personnellement, cela me retournerait complètement le cœur.	Moi ça me retournerai complètement le coeur.	1	formal	french
Il faut tourner la page et recommencer la vie d'avant avec elle.	Oublie tout ça et reprends ta vie d'avant avec elle.	A quoi bon rêver si cela rend la vie tellement difficile.	?Pourquoi fantasmer  pour autant de difficultés !	1	formal	french
Je te souhaite une bonne nuit, j'y vais également.	Bonne nuit à toi aussi, je crois que je vais y aller aussi!	L'important c'est qu'il soit attirant, beau, gentil, sympathique, généreux et c'est tout.	l'important c'est qu'il soit attirant , BOGOSS , gentil, sympa, et généreux c tout	1	formal	french
Tu es une femme et tu possèdes tous les atouts, mais prends ton temps.	tu es une femme et tu dispose de tous les atouts mais va doucement.	Contacte-moi par e-mail, je t'attends.	contact moi par mail je t'attend	1	formal	french
"Tu es donc malheureusement à cause ""d'eux""."	"Tu ais donc malheureuse à cause ""d'eux""."	Tu ne pourras pas le supporter.	Tu ne pourras pas supporter .	1	formal	french
Je me pose la même question, partage avec moi toute réponse viable que tu trouveras.	personnelement je me pose la meme question alors si tu trouve une reponse qui vaut la penne envois la moi.	Ne vous inquiétez pas, laissez lui du temps, il guérira.	laisse lui du temps il guerira ne t'inquiete pas	1	formal	french
Pour aussi longtemps que la relation reste platonique, il s'agit d'amitié.	tant qu'il n'y a pas de sexe c'est de l'amitié	Je sais et il est même question d'abaisser la limite d'âge à six ans.	oui je sais et il est meme question de ramener a six ans	1	formal	french
À vrai dire, je n'en sais rien. L'amour a ses raisons que le cœur ignore.	Je n'en sais rien à vrai dire, l'amour à ses raisons que le coeur n'a  pas.	Personnellement je ne trouve pas que je lui ressemble en quoi que ce soit.	moi je ne lui ressemble pas du tout !!!	1	formal	french
Je suis plutôt satisfaite de ma vie, je changerais juste la ville où j'habite.	oui je suis satisfaite de ma vie je cangerai la ville ou j'habite	On a le sentiment que tu te sens âgé.	ont dirait que tu te sent vieille !!	1	formal	french
"J'aime beaucoup la chanson: ""Like a Prayer."""	like a prayer, j'adore cette chanson.	C'est effectivement inexplicable.	c'est inexplicable en fait !!	1	formal	french
Je n'y vois pas de problème.	jvois pas le mal	Nous n'avons pas le choix: nous ferons l'achat pour nos enfants et nous nous arrangerons avec les conséquences.	ben on a pas le choix, on achete pour nos enfant et le reste tant pis!!	1	formal	french
Non, mais de me sauver, oui.	Non , mais de me sauver oui .	C'est à toi de le trouver. Nous ne pouvons pas le faire à ta place.	a toi de le trouver on peut pas le faire à ta place	1	formal	french
Les tarderies anciennes, bêtes et fauchées, je te les offres.	Les tarderies vieilles, idiotes et fauchées, je t'en fais cadeau.	Oui, car l'amour n'a pas d'âge !	oui,car l amour n a pas d age!!	1	formal	french
Selon la publicité, le plus de produits que tu appliques, le plus que tu en as, donc mets du déodorant.	selon la pub:plus t en met,plus t en as,  donc: mets du déodorant!	Je parie 10 contre 1 qu'il est Algérien.	10 contre 1 qu'il est algerien	1	formal	french
Pour faire bref, j'ai passé huit ans en Angleterre et je peux t'aider à améliorer ton anglais !	!En bref j'ai passer 8 ans en Angleterre et je peut t'aider a parfaire ton anglais !!	Si tout se passe bien, continuer de vous rapprocher jusqu'au regard qui vous donnera envie de vous embrasser.	puis si tout colle continuer jusqu'au regard qui voudra dire : embrasse moi !	1	formal	french
Ce n'est pas plaisant mais c'est comme ca.	C est bete mais c est ainsi.	C'est bien que tu te confies, ça va t'aider. Téléphone donc à SOS Amitié.	c'st bien que tu te confie ca va t'aidr téléphone à sos amitié .	1	formal	french
"Nous appelons cela une ""bouff-party"" car nous débutons toujours avec un bon repas."	"nous on appelle ça une ""bouff-party"" parce que ça commence tjs par un bon gueuleton"	Eh bien, je vous le dis, c'est difficile. C'est illogique, pas une bonne chose et une mauvaise chose.	bon je te dit c dur c pas logique c pas sa bon c qlqchose pas bien	1	formal	french
Mais la tête et le cœur luttent souvent l'un contre l'autre.	Mais la tete et lecoeur luttent svt l'un contre l'autre	Le fait d'avoir ses habitudes la rassure, ce qui rend très difficile de les changer.	Et, que d'avoir ses habitudes la rassure, et de les changer, dur, dur !!!	1	formal	french
Il regardé ailleurs.	Il avait les yeux braqués ailleurs .	J'ai connu le même problème. J'ai fait la connaissance de ma mère pour la première fois quand j'avais 37 ans !	!Voilà je connais ce problème, j'ai rencontré ma mère pour la première fois à 37 ans !!	1	formal	french
Va te saouler avec des copines, et couche avec autre mec juste pour la nuit.	Va te bourrer la gueule avec des copines, tapes toi un autre mec juste pour la nuit (capote!!!)	Pour plus d'ample information, envoyer un message courriel.	Si tu veux plus d info à ce sujet mail moi.	1	formal	french
Tu ne peux pas apporter de l'aide à une personne qui ne fait pas confiance à elle-même, car le manque de confiance en soi est un grand fléau.	tu ne peux rien fair car une personne qui na pas confiance a elle meme c'est un grand fleau	Si vous amour est fort et sincère, il pourras renverser des montagnes !	si votre amour est sincere et fort il pourra traverser des montagnes!	1	formal	french
Je ne suis pas sûr que rester arc bouté sur vos positions vous permettra de trouver une issue mais il est possible que je me trompe !	fonce la tête droit dans le mur et peut être tu reprendras tes esprits, akhioul	Tu vas avoir une punition.	tu vas te prendre une fessée !	1	formal	french
Penses-y bien et quitte si tu veux survivre!	reflechi bien, et quitte le si tu tiens a ta vie!!!	C'est toujours possible mais comment ? Je l'ignore.	C'est toujours possible mais comment je ne le sais pas .	1	formal	french
Ne t'inquiètes pas, il finira par finir le niveau difficile 2.	t inquiètes pas, il finira par passer à ce fichu niveau2	Alors envoie le bouler et cherches en un dont la mère vit très loin.	alors envoi le chier et cherche s'en un dont la mere vie a 5000 km	1	formal	french
Quoi qu'il advienne, la famille ou les vrais ami(e)s te comprendront un jour.	Quoiqu'il advienne, la famille ou les ami(e)s les vrais te comprendront un jour.	Courage, je partage ta peine.	Suis de tout coeur avec toi courrage	1	formal	french
En dépit de leur différence d'age de 26 ans, leur relation est toujours au beau fixe.	Ils ont 26 and de différence et ça marche tjrs autant.	Demain, tu verras, ton partenaire sera ravie de te voir, et tu seras encore plus jolie, et en addition sera très reposée.	et demain tu verras, il sera tout content de te voir encore plus jolie (et lui sera reposé).	1	formal	french
Tous ne sont pas comme cela. Il est vrai que cela sera dur à oublier.	tous ne sont pazs comme cela, mais c'est vrai que cela sera dur a oublier.	Nous voyons en vous une jeune fille qui est belle, gentille, sensuelle et intelligente.	on tu vois une belle filles gentil sensuelle intelligente	1	formal	french
Tu as raison, c'est agréable de s'esclaffer!	ahaha tu as bien raison de rire ca fait du bien.	Est-ce que je me trompe ?	je me trompe??!	1	formal	french
