anchor1	anchor2	alternative1	alternative2	correct_alternative	style_type	language
 зайди на фб, молю! кончений вк не дає нічого зробити! це все хуйло всране	Зайди на фб, молю вк не дає нічого зробити, це все чоловік поганий	Коли я навчуся не пройобувати час для сну на хуйню?	Коли я навчуся не витрачати час для сну на марно?	1	toxic	uk
Ну блять, давайте вже про імпотенцію та рак, так нецікаво.	Ну, давайте вже про імпотенцію та рак, так нецікаво.	блять ото жиза я в шоці	ото жиза я в шоці	1	toxic	uk
Бо пити його разом з алко дуже хуйова ідея, перевірено	Бо пити його разом з алко дуже погана ідея, перевірено	Новий говнотєрцєц - директор Россотруднічєства Воробйов.	Новий тєрцєц - директор Россотруднічєства Воробйов.	1	toxic	uk
Сука, я ніхуя не встигну перекласти ці йобані тексти за 2 дні.	я нічого не встигну перекласти ці тексти за 2 дні.	Я зара вшарила, що я дуже долбайоб.	Я зара вшарила, що я дуже не розумна.	1	toxic	uk
Дивна срань відбувається в моєму житті.	Дивні події відбуваються в моєму житті	завжди роблю хуйовий а їй нра	завжди роблю поганий а їй нра	1	toxic	uk
Очікуєш на щось гідне, а в результаті отримуєш типову хуйню	Очікуєш на щось гідне, а в результаті отримуєш щось погане	Один раз побув долбайобом і на все життя ним залишився.	Один раз побув поганим чоловіком і на все життя ним залишився.	1	toxic	uk
гегель такий мілаш,коли пише про абстрактне мислення, і таке мудло, коли товкмачить про право і державу.	гегель такий мілаш,коли пише про абстрактне мислення, і такий чудний, коли товкмачить про право і державу.	Ну окЯ хуйова людина по факту і всьо	Ну окЯ погана людина по факту і всьо	1	toxic	uk
сід каже що я хуйня :(	сід каже що я ніяка :(	Воно нас, блядь, ні до чого не готувало.	Воно нас ні до чого не готувало.	1	toxic	uk
Яка була курва матиТака ж курва дочка!	Яка була мати така ж і дочка	Пісня про сесію:зззНа відміну від–Ну його на хуй :з	Пісня про сесію:зззНа відміну від–так ну його :з	1	toxic	uk
Що це за акція хворих органів оптом блять?	Що це за акція хворих органів оптом?	А всюди йобаний натовп з йобаними руками.	А всюди натовп з руками	1	toxic	uk
кексложно вамна мене просто завжди похуй було	кексложно вамна мене просто завжди все одно було	Блядь, у мене відчуття, що я ревную геть усіх.	у мене відчуття, що я ревную геть усіх.	1	toxic	uk
Всесвіт вчить мене забивати хуй на тих, хто забиває його на мене, а я ніяк не вивчу урок...	Всесвіт вчить мене забивати на тих, хто забиває на мене, а я ніяк не вивчу урок...	Пора слухати величну симфонію *Ну його нахуй*, а завершувати увертюрою *Пєздєц* до симфонії *Життя*.	Пора слухати величну симфонію *Ну його в баню*, а завершувати увертюрою *капець* до симфонії *Життя*	1	toxic	uk
колись розкажу, але не тут, а то злетяться всякі збоченці, які почнуть хуйню писати)	колись розкажу, але не тут, а то злетяться всякі збоченці, які почнуть дурість писати)	Нахуй ти палиш, ну бля	нащо ти палиш, ну блин	1	toxic	uk
Сука, який же ж ахуєнний деньТреба мені частіше вихідні брати	Боже, який же чудовий день Треба мені частіше вихідні брати	наш універ—бєспрєдєл.читай хуйовую шеву і буде тобі щастя із розумінням	наш універ—бєспрєдєл.читай погану шеву і буде тобі щастя із розумінням	1	toxic	uk
Та сукк пиздую з сльозами на очах	Та іду з сльозами на очах	Чемпіоном він хоче бути, ага, бля.	Чемпіоном він хоче бути, ага	1	toxic	uk
Це все сука Путін своє клімактічєскоє оружіє запустив, щоб нас зі світу зжити.	Це все Путін своє клімактічєскоє оружіє запустив, щоб нас зі світу зжити.	Це не просто просирання,а нудне просирання	Це не просто розтрачення,а нудне розтрачення	1	toxic	uk
Треба було відос знімати, блять.	Треба було відео знімати	Ну вас нахєр з вашою політикою.	Ну вас з вашою політикою.	1	toxic	uk
На колір та смак товариш не всякДля когось і Хакслі - хуйовий автор	На колір та смак товариш не всяк для когось і хакслі- поганий автор	Підйом, курво, Arbeit macht frei	Підйом, Arbeit macht frei	1	toxic	uk
'Перед тим, як щось затвітити, запитай у себе: ''А може всім похую на то?'', і пам''ятай, що відповідь завжди ''Так''.'	'Перед тим, як щось затвітити, запитай у себе: ''А може всім байдуже на то?'', і пам''ятай, що відповідь завжди ''Так''.'	"Як воно, схоже  бляді на ваші ""незаангажовані"" опитування?"	"Як воно, схоже на ваші ""незаангажовані"" опитування?"	1	toxic	uk
'Тут або Тинка, Тіна, і Крістіна як кажуть америкоси, ну або вже повним ім''ям.'	'Тут або Тинка, Тіна, і Крістіна як кажуть американці, ну або вже повним ім''ям'	Мозок: *думає про цю хуйню*	Мозок думає про цю несамітницю	1	toxic	uk
Є частинка щастя в хорі народу на концерті Жадана і Собак, який співає:Чотири роки сука без Кобзона!	Є частинка щастя в хорі народу на концерті Жадана і Собак, який співає:Чотири роки без Кобзона!	Українська термінологія - це піздєц.	Українська термінологія - це жах.	1	toxic	uk
Бляха, нахєра ми це зробили?	навіщо ми це зробили?	 дякую, а ти киця, блять)	дякую, а ти киця	1	toxic	uk
Він потім думає, ну і в пизду не дуже то і хотілось їсти.	Він потім думає, ну і не дуже то і хотілось їсти.	Ти сукан, бухаєш без нас з 	'ти п''єш без нас'	1	toxic	uk
Лєна, краще мене кашею годуй, ніж піздюка.	Лєна, краще мене кашею годуй, ніж того хлопця.	я б з тобою потринділа, але ти такий муділа	я б з тобою поговорила, але ти такий дивний	1	toxic	uk
Кольорова печать на звичайному папері 10 гривень блятьІдіть нахуй	Кольорова печать на звичайному папері 10 гривень Ідіть	Сука, йобаний твіттер - капуста підгоріла ._.	Через твіттер  капуста підгоріла ._.	1	toxic	uk
ТА ЦЕ БУВ МОКРИЙ, МАТЬ ЙОГО, СНІГ!!!	Та це був мокрий, снiг!	А їбля мозку - то піздєц.	Тріпати мозок -  дуже погано.	1	toxic	uk
Підйоб, над яким не гріх поплакати.	Жарт, над яким не гріх поплакати.	"Фак, там мало бути ""мудак"", але доля вирішила інакше"	"там мало бути ""поганець"", але доля вирішила інакше"	1	toxic	uk
Я не я, якщо не пошлю на хуй	Я не я, якщо не пошлю в баню	'Хочу вирубити одну кончену сучку на роботі, але я не б''ю старших.'	'Злить одна людина на роботі, але я не б''ю старших'	1	toxic	uk
Все одно він мудак, бо не пише)	Все одно він негідник, бо не пише	Лєра, вітаю, ти похерила найбільш невибагливу рослину.	Лєра, вітаю, ти испортила найбільш невибагливу рослину.	1	toxic	uk
- давай закрутимось у вирі пристрастей?- блять, Якубович, крути сам свій барабан, старий ти дід	давай закрутимось у вирі пристрастей?-, Якубович, крути сам свій барабан, старий ти дід	Не блядство, а «високий рівень соціосексуальної орієнтації»	Не розпуста, а «високий рівень соціосексуальної орієнтації»	1	toxic	uk
Нехуй мені розповідати за бєдних лікарів & призваніє.	Не треба мені розповідати за бєдних лікарів & призваніє.	"'П''яний друг каже: "" ніколи не трахай дівчат з економічного...""'"	"'П''яний друг каже: "" ніколи займайся сексом с дівчатами з економічного...""'"	1	toxic	uk
бля, не писать йому тоді, чи шо	не писать йому тоді, чи шо	"приміщенняХАБУдозвільного РОЗВИТКУгромадських організацій (ок і тут ГО)Азовського РУХУ (щто?)рекрутингового центру полку ""АЗОВ""Ух бля!"	"приміщенняХАБУдозвільного РОЗВИТКУгромадських організацій (ок і тут ГО)Азовського РУХУ (щто?)рекрутингового центру полку ""АЗОВ""Ух"	1	toxic	uk
Вангую прапори новоросій чи іншого роду провокативні хуйні на трибунах	Вангую прапори новоросій чи іншого роду провокативні речі на трибунах	"Ти шо, коронне ""не трахай мізки"" до всього застосовують"	"Ти шо, коронне ""не насилуй мізки"" до всього застосовують"	1	toxic	uk
Щороку, блять, чим ближче до дня народження, тим більше хочеться до нього не дожити.	Щороку,  чим ближче до дня народження, тим більше хочеться до нього не дожити.	"Хтіли ""паставіть падножку Порошєнка"", а вийшло дати в жопу тіко."	"Хтіли ""паставіть падножку Порошєнка"", а вийшло наоборот тільки."	1	toxic	uk
Це не лєві) а тітка, яка сама ніхуя толком не прожила.	Це не лєві) а тітка, яка сама нічого толком не прожила.	блять, забув на вписці зарядку від ноута. попереду 11годинний робочий день. сука.сука.сука	забув на вписці зарядку від ноута. попереду 11годинний робочий день.	1	toxic	uk
Тварини нас не люблять, йопт	Тварини нас не люблять	Не розумію чим я заслужила цю хуйову карму останнім часом	Не розумiю чим я заслужила цю карму останнiм часом	1	toxic	uk
Ахахах, єбать, добре, шо не поступав туди#КНЕУ_топчік	Ахахах добре, шо не поступав туди#КНЕУ_топчік	(Ну або які в нас там ще є елітарні мудаки, яким власна елітарність без тупоголових донецьких недостатньо елітарна) 	(Ну або які в нас там ще є елітарні хлопці, яким власна елітарність без хлопці донецьких недостатньо елітарна)	1	toxic	uk
"Прогулянка обіцяє бути цікавою після фрази: ""Хочеш покажу глиняну пизду??)"""	"Прогулянка обіцяє бути цікавою після фрази: ""Хочеш покажу глиняну геніталію??)"""	Ви, блять, за пару годин і не згадаєте кому це писали, нащо цей цирк?	Ви за пару годин і не згадаєте кому це писали, нащо цей цирк?	1	toxic	uk
Апятьдвадцатьпять, курва)) ну але так уж бить, мені не звикати)	'А п''ять двадцять п''ять)) ну не так вже бити мене не звикати)'	тому, кстатє, спайк лі получив каннську гілочку, а кокотюха получив хуй на патичку, і так йому і нада.	тому, кстатє, спайк лі получив каннську гілочку, а кокотюха нічого не получив, і так йому і нада.	1	toxic	uk
Ахахах бляя, уявив собі це	Ахахах уявив собі це	Та блять тисніть свої тупі кнопки!	Та  тисніть вже свої кнопки!	1	toxic	uk
Коли ти дуже жостко підйобуєш Настю	Коли ти дуже жостко глузуєшь над Настєю	виступав колись перед дітьми - їм похуй. ти для них лох без айфона.	виступав колись перед дітьми - їм байдуже. ти для них ніхто без айфона.	1	toxic	uk
про шлюх і наркоту ще.	про гулящих дівок і траву ще.	Ого, а нахуя вони це постять...	Ого, а навіщо вони це постять	1	toxic	uk
Сміх сміхом, а пизда горіхои	Сміх сміхом, а попа горіхом	"Пише: ""Я думала хуйня в мене в житті через відсутність сексу, порішала з сексом, а хуйня лишилася."	"Пише: ""Я думала в мене погано в житті через відсутність сексу, порішала з сексом, а нічого не змінилося."	1	toxic	uk
 я за сьогодні вже 2 рази блять, руки реально з жопи ростуть	я за сьогодні вже 2 рази , руки реально нiзвiдки треба ростуть	Тому що ідіть нахуй, ось чому.	Тому що ідіть звідси, ось чому.	1	toxic	uk
Люди кажуть, що всім похуй на них.	Люди кажуть, що всім всеодно на них.	Щоб то ще такого спизданути в стрічку?	Щоб то ще такого сказанути в стрічку?	1	toxic	uk
Можу допомогти, все рівно хуйї штурхаю	Можу допомогти, все рівно нічим не займаюсь	В чому ваша, сука, проблема?	В чому ваша, проблема?	1	toxic	uk
Де вона зараз – хуй знає	Де вона зараз – ніхто не знає	Нахуя я це вчу блять?	навiщо я це вчу?	1	toxic	uk
не звертай уваги. мудаків мільйон, ти одна.)	не звертай уваги. таких мільйон, ти одна.)	пмс - це ніхуя не весело	Пмс це взагалі не весело	1	toxic	uk
Кидає фотку в платті і каже - диви яка в мене тут жопа!	'Кидає фотку в платті і каже - диви яка в мене тут п''ята точка!'	[городити хуйню про грамотність жахливо неграмотними і українською, і російською мовами: вишенька на тортику цієї феєрії]	[городити дурницю про грамотність жахливо неграмотними і українською, і російською мовами: вишенька на тортику цієї феєрії]	1	toxic	uk
А при Януковичі ти, хуй, так само робив?	А при Януковичі ти так само робив?	- Ти бухаєш водяру і забиваєш на все болт!	'- Ти п''єш горілку і перестаєш на все реагувати'	1	toxic	uk
Та задовбали вже своїми піКардами.	Та дістали вже своїми піКардами.	Боже блять, нарешті хтось про CCR сказав.	Боже, нарешті хтось про ССR сказав	1	toxic	uk
Той хуй в тг не заходитьТи шо, яка ВікторіяЯ собі не дозволяю тепер такого	Той  в тг не заходитьТи шо, яка ВікторіяЯ собі не дозволяю тепер такого	бляха, як же мені прикро, що все так ;(	як же мені прикро, що все так ;(	1	toxic	uk
Є така хуйня, коли ти хочеш не побачити людину, а щоб людина побачила тебе.	Є така річ, коли ти хочеш не побачити людину, а щоб людина побачила тебе.	Ну і йти до сраки	Ну і йти  далеко	1	toxic	uk
Має дві роботи, але вкрай ниє, яка у нас хренова держава, який він бідний, яке хуйове життя.	Має дві роботи, але вкрай ниє, яка у нас хренова держава, який він бідний, яке прикре у ньго життя.	не лишайте пухнастих мудаків наодинці зі шкарпетками	не лишайте пухнастих наодинці зі шкарпетками	1	toxic	uk
Подруга прийшла пиздіти зі своїм мудаком до мене в кімнату.	Подруга прийшла поговоріть зі своїм хлопцем до мене в кімнату.	Що це за блядський цирк в Москві?))	Що це за цирк в Москві?))	1	toxic	uk
"це коли карент муд від ""мудак"""	"це коли карент муд від ""поганий"""	а мені нравПросто гріх дрищів не падйобувать	а мені нравПросто гріх противних не підколювати	1	toxic	uk
Інші просто долбайоби, бо я теж не шарю, за що ціна така.	я теж не шарю, за що ціна така.	Охуєнні мапи Польщі, мої улюблені про туризм, найбільш небезпечних тварин і ландшафт.	Крутi мапи Польщі, мої улюблені про туризм, найбільш небезпечних тварин і ландшафт.	1	toxic	uk
Мій ентузіазм підриває погане самопочуття, чорт.	Мій ентузіазм підриває погане самопочуття	Коли наїбала самого Бога Долею.	Коли надурила самого Бога Долею.	1	toxic	uk
  ніколи...чуєте, ніколи! не плутайте такі речі. це ж як хуй з пальцем порівнювати))	ніколи...чуєте, ніколи! не плутайте такі речі. це ж не можлiво порівнювати))	в сраку ті дужки засунь))))))	Не потрібні мені твоі дужки))))	1	toxic	uk
Хочеш їсти - їж, хочеш пити - пий, хочеш трахатися - ну, буває.	Хочеш їсти - їж, хочеш пити - пий, хочеш сексу - ну, буває.	Ааааа, ну нахуя ставити це на порозі??????	Ааааа, ну для чого ставити це на порозі??????	1	toxic	uk
При мені такої хуйні б не було.	При мені такої нісенітниці б не було.	"Аби, бляді, крові не зробили, аля ""тітушки вночі напалі на 12 рєдут"".;("	"Аби крові не зробили, аля ""тітушки вночі напалі на 12 рєдут"".;("	1	toxic	uk
#6йсирник RT : - Та я, блядь, не из-за бабла.	#6йсирник RT : - Та я, не из-за бабла.	Бути тупим уїбаном саме по собі не є поганою рисою.	Бути поганою людиною саме по собі не є поганою рисою.	1	toxic	uk
Найбільший злочин проти українського народу - влада, яка складний час впевнено і безбожно продовжує пиздити	Найбільший злочин проти українського народу - влада, яка складний час впевнено і безбожно продовжує брехати	Люди, котрі юзають мільйон смайлів, без зайвих слів ідуть нахуй.	Люди, котрі юзають мільйон смайлів, без зайвих слів ідуть далеко	1	toxic	uk
-Ну как обичьно, нахуй))))Кежуал конверсейшнс віз  )))))	-------- Ну як завжди, Кежуал конверсейшнс віз)))))	Це ж наче така хуєта, але від неї паскудно до смерті.	Це ж наче таке, але від неї паскудно до смерті.	1	toxic	uk
Ну чьо Михасику не отримаєш ти того що ти блядь хочеш...	Ну чьо Михасику не отримаєш ти того що ти хочеш...	Дуже хочу написати щось дуже розумне  але хуй його знає що...	Дуже хочу написати щось дуже розумне  але хто його знає що...	1	toxic	uk
Блять, я ненавиджу своє їбуче тіло, сам факт свого існування.	Я ненавиджу своє тіло, сам факт свого існування.	'Але не можу, бо то блять сім''я.'	'Але не можу, бо то сім''я.'	1	toxic	uk
А чи не мразь ти, Дмитро?	чи не редиска ти, Дмитро?	Бо сука-блять перша ночі, а ти тут розлігся як тюлєнь на льодовику.	Бо перша ночі, а ти тут розлігся як тюлєнь на льодовику.	1	toxic	uk
Як добре що така хуйня властива лише монархіям	Як добре що таке безглуздя властиве лише монархіям	Мау хай йдуть в жопу	Мау хай йдутьу куди подалі	1	toxic	uk
Подзвонили всі возможні родичі, сусіди стукаюсь блять, шось таскають там я єбу, брат 100500 раз зайшов в комнату ну блеееет	Подзвонили всі возможні родичі, сусіди стукаюсь, щось таскають там , брат 100500 раз зайшов в кімнату	'Але звинувачувати у проруснявій позиції можуть лише повні, абсолютно кончені дегенерати, п''янь від люмпеноти, русня і підруснявлені манкурти.'	Але звинувачувати у проросійській позиції можуть лише повні, абсолютно нерозумні люди.	1	toxic	uk
– Я что лох налогі платіть?	– Я что хворий налогі платіть?	'Навіть не знаю, то дар чи прокляття моє вміння НІХУЯ НЕ ЗАБУВАТИ От якого, мозок, ти так підручники не запам''ятовував'	'Навіть не знаю, то дар чи прокляття моє вміння НІЧОГО НЕ ЗАБУВАТИ От якого, мозок, ти так підручники не запам''ятовував'	1	toxic	uk
В коментарях автор пояснює, що їздив дивитися, як тубільці пиздяться між собою, про “both sides” і “more neutral approach”, охуєнно	'В коментарях автор пояснює, що їздив дивитися, як тубільці б''ються між собою, про “both sides” і “more neutral approach”, прекрасно'	сукаааа, я більше не полечу нікуди!!!!!	я більше не полечу нікуди!!!!!	1	toxic	uk
Чувак, який безуспішно намагався вмовити мене на секс, пішов ва-банк і тепер замість ниття про свій недойоб кидає мені АНЕКДОТИ.	Чувак, який безуспішно намагався вмовити мене на секс, пішов ва-банк і тепер замість ниття  кидає мені АНЕКДОТИ.	От нахуя мене зайобувати з самого ранку, а???	Ось навіщо мене діставати з самого ранку, а???	1	toxic	uk
"ті самі, котрі ""полная імпотєнція в укаінском інфополє"" і через два твіти – ""боти Порошенко на з/п"" гг бляді."	"ті самі, котрі ""полная імпотєнція в укаінском інфополє"" і через два твіти – ""боти Порошенко на з/п"" гг"	Плач піздюків - це ідеальна зброя.	Плач детей - це ідеальна зброя.	1	toxic	uk
Шоб я не робила, все якось через жопу.	Шоб я не робила, всё якось через останнє місце	То мене нахуй посилали, а не його до мене..	То мене якнайдалі посилали, а не його до мене..	1	toxic	uk
Кидайте цю милоту будь якому руснявому гівну, що почне патякати за те як на Сколєнії жить харашо.	Кидайте цю милоту будь якому російському , що почне говорити за те як на Сколєнії жить харашо.	Ну і хуй з тим брезентом)	Ну його з тим брезентом)	1	toxic	uk
Я і щас нахуй здався?	Я і щас навіщо здався?	Та нахуй ти мені впав, скотина ти така)))	Та навіщо ти мені потрібен	1	toxic	uk
Пізда катьонку, більше срать не буде.	Кінець катьонкуі, більше какати не буде.	гавно вапрос, від кого передати?)	не питання, від кого передати?)	1	toxic	uk
Нікому, блять, навіть пожалітися не можна!	Нікому навіть пожалітися не можна!	смм вийшов на вулиці і нам всім пизда	смм вийшов на вулиці і нам всім хана	1	toxic	uk
Тинка ходи на Jazz fest і вино післяЖінку свою веди блять.	Тинка ходи на Jazz fest і вино післяЖінку свою веди.	І щоб не було ще ліпше: нахуй порвані джінси	І щоб не було ще ліпше: порвані джінси	1	toxic	uk
Яка ж я зла, блять.	Яка ж я зла	' відчуваю себе говнарем, бо знаю цю пісню напам''ять'	'відчуваю себе дивно, бо знаю цю пісню напам''ять'	1	toxic	uk
О то в наших батьків частково така хуйня.	Ось у наших батьків частково така проблема	Іноді ой як хочеться повиривати патли всім цих шлюхам!	Іноді ой як хочеться повиривати волосся всім цих жінкам легкої поведінки!	1	toxic	uk
Краще здохнути, ніж визнати, що всрався.	Краще померти, ніж визнати, що помилився.	не плєд хуйня, а ти хуйня	Не плед фігня,а ти	1	toxic	uk
А нахуя він, є від нього щось, окрім шкоди?	А навіщо він, є від нього щось, окрім шкоди?	Якщо я когось не читаю, значить я, блять, не хочу їх бачити в стрічці.	Якщо я когось не читаю, значить я не хочу їх бачити в стрічці.	1	toxic	uk
І позбавляти нахуй субсидій/фіндопомоги від держави.	I позбавляти субсидій/фіндопомоги від держави.	Я викину цю кончену картку в Стікс блять	Я викину цю картку в Стікс	1	toxic	uk
Ранок почався з мамчиних нарікань на Укргазбанк:— бляцький Укргаз, уроди...— и тебе хорошего дня	Ранок почався з мамчиних нарікань на укргазбанк-поганий укргаз, негарні- и тебе хорошего дня	Відчуття, ніби все тіло ногами пиздили.	Відчуття, ніби все тіло ногами били	1	toxic	uk
Ахахахха блятьЯ б пішов пішкиЯкби дойшов	Ахахахха Я б пішов пішки Якби дойшов	Мене зараз закидають гнилими хуями, але Скарлет Йохансон	Мене зараз закидають тухлими помідорами, але Скарлет Йохансон	1	toxic	uk
І все це блять особисто до мене звернуте.	І все це особисто до мене звернуте.	Луччє я здохну єбучім ноунеймом, чем праслявлюсь і мене стануть показувати по гівнотв	Луччє я був ноунеймом, чем праслявлюсь і мене стануть показувати по тв	1	toxic	uk
