positive	negative	style_type	language
Ну чьо Михасику не отримаєш ти того що ти блядь хочеш...	Ну чьо Михасику не отримаєш ти того що ти хочеш...	toxicity	uk
- Ти бухаєш водяру і забиваєш на все болт!	'- Ти п''єш горілку і перестаєш на все реагувати'	toxicity	uk
Він потім думає, ну і в пизду не дуже то і хотілось їсти.	Він потім думає, ну і не дуже то і хотілось їсти.	toxicity	uk
Українська термінологія - це піздєц.	Українська термінологія - це жах.	toxicity	uk
І бля, їхала сюди - то мала роботу.	І, їхала сюди - то мала роботу.	toxicity	uk
Хочу постити депресивну хуйню в інст, але там забагато знайомих	Хочу постити депресивну дурниці в інст, але там забагато знайомих	toxicity	uk
не лишайте пухнастих мудаків наодинці зі шкарпетками	не лишайте пухнастих наодинці зі шкарпетками	toxicity	uk
ДаЗнав одну, їбанутішої людини не бачив	ДаЗнав одну, божевільного людини не бачив	toxicity	uk
Чоловіки, хлопці - яйця, блять, в руки і до Києва!	Чоловіки, хлопці - опануйте себе і до Києва!	toxicity	uk
В коментарях автор пояснює, що їздив дивитися, як тубільці пиздяться між собою, про “both sides” і “more neutral approach”, охуєнно	'В коментарях автор пояснює, що їздив дивитися, як тубільці б''ються між собою, про “both sides” і “more neutral approach”, прекрасно'	toxicity	uk
Воно нас, блядь, ні до чого не готувало.	Воно нас ні до чого не готувало.	toxicity	uk
Люди кажуть, що всім похуй на них.	Люди кажуть, що всім всеодно на них.	toxicity	uk
Очікуєш на щось гідне, а в результаті отримуєш типову хуйню	Очікуєш на щось гідне, а в результаті отримуєш щось погане	toxicity	uk
а нє поставіть-ка мнє хуй на аву і зіпсувати собі репутацію?	А нє поставіть-ка мне моє достоєнство на аву і зіпсувати собі репутацію	toxicity	uk
Дякую за зауваження)Пиздити мене треба, щоб менше пизділа!	Дякую за зауваження)Бити мене треба, щоб менше тараторіла!	toxicity	uk
Йди на хуй під силу	Йди геть під силу	toxicity	uk
"Як воно, схоже  бляді на ваші ""незаангажовані"" опитування?"	"Як воно, схоже на ваші ""незаангажовані"" опитування?"	toxicity	uk
"ця ""безвітсоткова позика"" це водіння немитим хуєм по губам всіх, без виключення українців. ось що бісить блять у тому числі."	"ця ""безвітсоткова позика"" це знущання з усіх, без виключення українців. ось що бісить у тому числі."	toxicity	uk
Ох ти ж блін, я й не бачила, шо вже так пізно.	я й не бачила, шо вже так пізно.	toxicity	uk
Лєна, краще мене кашею годуй, ніж піздюка.	Лєна, краще мене кашею годуй, ніж того хлопця.	toxicity	uk
бляяя точно) і поміняти прізвище вконтактику	Блін точно)і поміняти прізвище вконтактику	toxicity	uk
Вкотре переконуюсь, шо я думаю піздою, а не мозком, блять	Ще раз переконуюсь, що я думаю чимось, а не мозком	toxicity	uk
Зараз,бляха-муха,закурю....грьобаний футбол,тримай себе в руках,Міла!	Зараз закурю... поганий футбол, тримай себе в руках, Міла	toxicity	uk
Яка ж я зла, блять.	Яка ж я зла	toxicity	uk
та тоді якийсь пиздец бувв мене рідко губи тріскають	Та тоді якийсь ужас бувв мене рідко губи тріскають	toxicity	uk
Чемпіоном він хоче бути, ага, бля.	Чемпіоном він хоче бути, ага	toxicity	uk
А всюди йобаний натовп з йобаними руками.	А всюди натовп з руками	toxicity	uk
"Хтіли ""паставіть падножку Порошєнка"", а вийшло дати в жопу тіко."	"Хтіли ""паставіть падножку Порошєнка"", а вийшло наоборот тільки."	toxicity	uk
Мені дохуя французької, а єбав, бо усний:з	Мені багато французької, а манав, бо усний	toxicity	uk
бляха, я не можу змусити себе вчитися!	Капець, я не можу змусити себе вчитися	toxicity	uk
Блядь та ну ви знущаєтесь?	та ну ви знущаєтесь?	toxicity	uk
Мандєц блядьЧо ж так смєшно з цього?	Чого ж так смішно з цього?	toxicity	uk
Та нахуй ти мені впав, скотина ти така)))	Та навіщо ти мені потрібен	toxicity	uk
Дивлюсь на відповіді голосувань і бля, who the fuck так погано мене знає?	Дивлюсь на відповіді голосувань і, хто так погано мене знає?	toxicity	uk
та блять, нема зворотніх плацкартів на коли мені треба в обозрімом будущєм	Нема зворотніх плацкартні на коли мені треба в обозрімом будущєм	toxicity	uk
Ну нахуй, мудаки і є мудаки	Ну, погані і є погані	toxicity	uk
Чувак, який безуспішно намагався вмовити мене на секс, пішов ва-банк і тепер замість ниття про свій недойоб кидає мені АНЕКДОТИ.	Чувак, який безуспішно намагався вмовити мене на секс, пішов ва-банк і тепер замість ниття  кидає мені АНЕКДОТИ.	toxicity	uk
Той хуй в тг не заходитьТи шо, яка ВікторіяЯ собі не дозволяю тепер такого	Той  в тг не заходитьТи шо, яка ВікторіяЯ собі не дозволяю тепер такого	toxicity	uk
Господи йоб твою мать, вирубіть уже літо нахуй.	Господи, вирубіть уже літо.	toxicity	uk
' бля, ти пам''ятаєш, шо мені було потім?) я мацала так пити)'	'ти пам''ятаєш, шо мені було потім?) я мацала так пити)'	toxicity	uk
Схуялі ти пишеш твіти з моєю картинкою?	навіщо ти пишеш твіти з моєю картинкою?	toxicity	uk
"приміщенняХАБУдозвільного РОЗВИТКУгромадських організацій (ок і тут ГО)Азовського РУХУ (щто?)рекрутингового центру полку ""АЗОВ""Ух бля!"	"приміщенняХАБУдозвільного РОЗВИТКУгромадських організацій (ок і тут ГО)Азовського РУХУ (щто?)рекрутингового центру полку ""АЗОВ""Ух"	toxicity	uk
'Перед тим, як щось затвітити, запитай у себе: ''А може всім похую на то?'', і пам''ятай, що відповідь завжди ''Так''.'	'Перед тим, як щось затвітити, запитай у себе: ''А може всім байдуже на то?'', і пам''ятай, що відповідь завжди ''Так''.'	toxicity	uk
гавно вапрос, від кого передати?)	не питання, від кого передати?)	toxicity	uk
Кидає фотку в платті і каже - диви яка в мене тут жопа!	'Кидає фотку в платті і каже - диви яка в мене тут п''ята точка!'	toxicity	uk
завжди роблю хуйовий а їй нра	завжди роблю поганий а їй нра	toxicity	uk
"'Рубрика ""Всім похуй на ті всраті діалоги"":Итс соу світ вен після п''янки всі звітують, що дома.'"	"'Рубрика ""Всім начхати  на ті всраті діалоги"":Итс соу світ вен після п''янки всі звітують, що дома.'"	toxicity	uk
Коли пацан - пиздець як відразливо.	Коли пацан - геть як відразливо.	toxicity	uk
Підйом, курво, Arbeit macht frei	Підйом, Arbeit macht frei	toxicity	uk
– Я что лох налогі платіть?	– Я что хворий налогі платіть?	toxicity	uk
Ну вас нахєр з вашою політикою.	Ну вас з вашою політикою.	toxicity	uk
Один хуй хріново добиратись з Наукової до Рясне шо старим 131 шо новим 11 #lviv #піздєц	Однаково погано добиратись з Наукової до Рясне шо старим 131 шо новим 11 #lviv	toxicity	uk
Один раз побув долбайобом і на все життя ним залишився.	Один раз побув поганим чоловіком і на все життя ним залишився.	toxicity	uk
словом, заїбало то всьо. ви кто такіє? я вас нє звал. ідітє нахуй	словом, набридло то всьо. ви кто такіє? я вас не звал. iдіть звідси	toxicity	uk
Блін, я sooooo excited, прям жопою в кріслі пританцьовую	Я sooooo excited, прям заднім місцем в кріслі пританцьовую	toxicity	uk
А нахуя він, є від нього щось, окрім шкоди?	А навіщо він, є від нього щось, окрім шкоди?	toxicity	uk
Ого, а нахуя вони це постять...	Ого, а навіщо вони це постять	toxicity	uk
Ахахах бляя, уявив собі це	Ахахах уявив собі це	toxicity	uk
блять а шо це справді лякає?) я завжди так роблю	а шо це справді лякає?) я завжди так роблю	toxicity	uk
  бля, я тікаю від вас спати.	я тікаю від вас спати	toxicity	uk
Я викину цю кончену картку в Стікс блять	Я викину цю картку в Стікс	toxicity	uk
Ну блять, давайте вже про імпотенцію та рак, так нецікаво.	Ну, давайте вже про імпотенцію та рак, так нецікаво.	toxicity	uk
Я: Рєбзь, може суші візьмем?	Я: Рєбзь, може суші візьмем?	toxicity	uk
Сука, йобаний твіттер - капуста підгоріла ._.	Через твіттер  капуста підгоріла ._.	toxicity	uk
не звертай уваги. мудаків мільйон, ти одна.)	не звертай уваги. таких мільйон, ти одна.)	toxicity	uk
Все блять, привіт пенсіонерський відпочинок: сходила в замок, погуляла набережною, випила, тепер наступні дві доби хочу просто проспати в номері.	привіт пенсіонерський відпочинок: сходила в замок, погуляла набережною, випила, тепер наступні дві доби хочу просто проспати в номері.	toxicity	uk
Де вона зараз – хуй знає	Де вона зараз – ніхто не знає	toxicity	uk
"'П''яний друг каже: "" ніколи не трахай дівчат з економічного...""'"	"'П''яний друг каже: "" ніколи займайся сексом с дівчатами з економічного...""'"	toxicity	uk
Підйоб, над яким не гріх поплакати.	Жарт, над яким не гріх поплакати.	toxicity	uk
Ну бляяя, чого вони такі каєфні?	Ну  чого вони такі каєфні?	toxicity	uk
чума на дома цих мудаків, які розвивали рейшинал чойс теорію, ВОІСТІНУ.	несчатье тим людям, які розвивали рейшинал чойс теорію, ВОІСТІНУ.	toxicity	uk
Ранок почався з мамчиних нарікань на Укргазбанк:— бляцький Укргаз, уроди...— и тебе хорошего дня	Ранок почався з мамчиних нарікань на укргазбанк-поганий укргаз, негарні- и тебе хорошего дня	toxicity	uk
-ЦЕ ТИ МЕНЕ ЩА ЖИРНИМ ОБІЗВАЛА, ТА?!	-ЦЕ ТИ МЕНЕ ЩА ТОВСТИМ ОБІЗВАЛА, ТА?!	toxicity	uk
Тільки раптом що, це їсти треба, а не на пизду намазувати	Тільки раптом що це їсти треба, а не намазувати кудись	toxicity	uk
Сміх сміхом, а пизда горіхои	Сміх сміхом, а попа горіхом	toxicity	uk
